"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,039,877","2,445,896","2,593,981","94.3","290,091","298,540","337,730","338,347","323,961","633,583","637,640","618,370","333,592","342,214","540,223","263,830","81,756","39.8","1,119,942","4,046,627","3,919,935","3,699,142","1,090,086","885,809","3,919,935","1,875,393","2,044,542","91.7","885,809","389,233","496,576","78.4","","5,039,877","4,789,266","250,611","4,789,266","3,281,881","1,305,106","24,830","4,719","82","194","487","68,813","14,760","11,337","7,014","2,712","14,231","12,337","6,422","1,661","990","268","226","177","106,975","250,611","41,648","57,231","19,017","9,680","","5,039,877","3,507,335","1,378,109","105,702","96,645","8,252","214,922","","5,039,877","237,434","145,112","21,921","7,732","62,669","4,802,443","3,233,247","1,298,268","16,022","67,957","1,661","15,944","169,344","28,472","140,872","2,313,616","","3,829,788","1,827,345","2,002,443"
"    Percent","","5,039,877","48.5%","51.5%","(X)","5.8%","5.9%","6.7%","6.7%","6.4%","12.6%","12.7%","12.3%","6.6%","6.8%","10.7%","5.2%","1.6%","(X)","22.2%","80.3%","77.8%","73.4%","21.6%","17.6%","3,919,935","47.8%","52.2%","(X)","885,809","43.9%","56.1%","(X)","","5,039,877","95.0%","5.0%","95.0%","65.1%","25.9%","0.5%","0.1%","0.0%","0.0%","0.0%","1.4%","0.3%","0.2%","0.1%","0.1%","0.3%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","2.1%","5.0%","0.8%","1.1%","0.4%","0.2%","","5,039,877","69.6%","27.3%","2.1%","1.9%","0.2%","4.3%","","5,039,877","4.7%","2.9%","0.4%","0.2%","1.2%","95.3%","64.2%","25.8%","0.3%","1.3%","0.0%","0.3%","3.4%","0.6%","2.8%","(X)","","3,829,788","47.7%","52.3%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","732,673","383,121","349,552","109.6","46,198","52,071","52,507","50,263","45,855","112,341","102,955","82,460","42,971","46,642","67,291","24,410","6,709","35.6","179,401","571,832","553,272","521,655","124,583","98,410","553,272","290,138","263,134","110.3","98,410","49,676","48,734","101.9","","732,673","635,040","97,633","635,040","435,004","22,003","100,397","321","369","57","176","47,347","2,012","2,944","27,066","1,191","3,266","892","9,976","11,171","1,086","151","8,170","1,764","19,118","97,633","7,013","40,190","10,808","1,091","","732,673","522,115","38,623","151,861","65,864","18,313","43,669","","732,673","52,291","22,299","8,653","3,182","18,157","680,382","424,145","21,085","98,626","46,611","10,994","3,744","75,177","8,278","66,899","327,889","","533,852","281,367","252,485"
"    Percent","","732,673","52.3%","47.7%","(X)","6.3%","7.1%","7.2%","6.9%","6.3%","15.3%","14.1%","11.3%","5.9%","6.4%","9.2%","3.3%","0.9%","(X)","24.5%","78.0%","75.5%","71.2%","17.0%","13.4%","553,272","52.4%","47.6%","(X)","98,410","50.5%","49.5%","(X)","","732,673","86.7%","13.3%","86.7%","59.4%","3.0%","13.7%","0.0%","0.1%","0.0%","0.0%","6.5%","0.3%","0.4%","3.7%","0.2%","0.4%","0.1%","1.4%","1.5%","0.1%","0.0%","1.1%","0.2%","2.6%","13.3%","1.0%","5.5%","1.5%","0.1%","","732,673","71.3%","5.3%","20.7%","9.0%","2.5%","6.0%","","732,673","7.1%","3.0%","1.2%","0.4%","2.5%","92.9%","57.9%","2.9%","13.5%","6.4%","1.5%","0.5%","10.3%","1.1%","9.1%","(X)","","533,852","52.7%","47.3%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,276,316","3,629,620","3,646,696","99.5","402,255","446,309","476,245","482,998","488,212","1,000,536","915,424","850,341","423,315","456,696","784,367","421,509","128,109","38.6","1,614,284","5,852,913","5,662,032","5,372,612","1,609,301","1,333,985","5,662,032","2,806,606","2,855,426","98.3","1,333,985","618,438","715,547","86.4","","7,276,316","5,814,168","1,462,148","5,814,168","4,241,669","326,638","294,658","2,381","810","138,680","1,759","245,285","59,856","45,868","48,916","10,222","15,066","31,841","33,516","12,432","5,423","2,684","1,540","2,785","693,486","1,462,148","74,889","82,997","68,386","7,956","","7,276,316","5,645,464","458,285","438,351","349,654","31,604","1,882,744","","7,276,316","2,351,124","2,008,741","55,899","21,569","264,915","4,925,192","3,784,275","312,197","241,173","238,183","11,269","41,944","296,151","60,311","235,840","3,138,685","","5,216,518","2,584,180","2,632,338"
"    Percent","","7,276,316","49.9%","50.1%","(X)","5.5%","6.1%","6.5%","6.6%","6.7%","13.8%","12.6%","11.7%","5.8%","6.3%","10.8%","5.8%","1.8%","(X)","22.2%","80.4%","77.8%","73.8%","22.1%","18.3%","5,662,032","49.6%","50.4%","(X)","1,333,985","46.4%","53.6%","(X)","","7,276,316","79.9%","20.1%","79.9%","58.3%","4.5%","4.0%","0.0%","0.0%","1.9%","0.0%","3.4%","0.8%","0.6%","0.7%","0.1%","0.2%","0.4%","0.5%","0.2%","0.1%","0.0%","0.0%","0.0%","9.5%","20.1%","1.0%","1.1%","0.9%","0.1%","","7,276,316","77.6%","6.3%","6.0%","4.8%","0.4%","25.9%","","7,276,316","32.3%","27.6%","0.8%","0.3%","3.6%","67.7%","52.0%","4.3%","3.3%","3.3%","0.2%","0.6%","4.1%","0.8%","3.2%","(X)","","5,216,518","49.5%","50.5%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
