state_num,pew_bornagain,commonweight,state,state_name,population_total,year
26,2,3.64967053961725,MI,MICHIGAN,10034113,2022
25,1,0.780430545629899,MA,MASSACHUSETTS,6981974,2022
42,2,0.891554991040227,PA,PENNSYLVANIA,12972008,2022
09,2,1.10359831753329,CT,CONNECTICUT,3626205,2022
24,2,0.542923302597207,MD,MARYLAND,6164660,2022
33,2,0.114487151519641,NH,NEW HAMPSHIRE,1395231,2022
13,1,0.899044997092196,GA,GEORGIA,10912876,2022
48,2,0.633318618543433,TX,TEXAS,30029572,2022
42,2,0.900071057244166,PA,PENNSYLVANIA,12972008,2022
37,2,0.724990257262142,NC,NORTH CAROLINA,10698973,2022
22,1,1.56780905344031,LA,LOUISIANA,4590241,2022
45,2,0.146490483951894,SC,SOUTH CAROLINA,5282634,2022
13,1,1.37970058462303,GA,GEORGIA,10912876,2022
53,2,0.562305909032912,WA,WASHINGTON,7785786,2022
23,2,0.594431688309176,ME,MAINE,1385340,2022
51,1,0.93302043536334,VA,VIRGINIA,8683619,2022
18,1,0.978724015297141,IN,INDIANA,6833037,2022
06,2,4.9032630028366,CA,CALIFORNIA,39029342,2022
51,1,1.46660519382008,VA,VIRGINIA,8683619,2022
18,2,0.229976515693399,IN,INDIANA,6833037,2022
06,2,1.22631272478392,CA,CALIFORNIA,39029342,2022
21,2,0.182499068557034,KY,KENTUCKY,4512310,2022
42,2,1.04165376844269,PA,PENNSYLVANIA,12972008,2022
36,2,1.4222921145161,NY,NEW YORK,19677151,2022
41,1,1.53503055821397,OR,OREGON,4240137,2022
48,2,0.338204706645194,TX,TEXAS,30029572,2022
36,2,1.09683949999135,NY,NEW YORK,19677151,2022
05,1,2.3351458479275,AR,ARKANSAS,3045637,2022
08,2,1.2285795415967,CO,COLORADO,5839926,2022
42,2,1.04165376844269,PA,PENNSYLVANIA,12972008,2022
12,2,0.62828668788508,FL,FLORIDA,22244823,2022
53,2,1.15035926815553,WA,WASHINGTON,7785786,2022
06,2,0.905338717935425,CA,CALIFORNIA,39029342,2022
53,2,2.10676855831979,WA,WASHINGTON,7785786,2022
06,2,0.671452807604091,CA,CALIFORNIA,39029342,2022
53,2,1.00562356016671,WA,WASHINGTON,7785786,2022
36,2,1.19172718265376,NY,NEW YORK,19677151,2022
37,2,0.0675500264572453,NC,NORTH CAROLINA,10698973,2022
46,1,1.09987161156337,SD,SOUTH DAKOTA,909824,2022
36,2,0.849331128065222,NY,NEW YORK,19677151,2022
26,2,0.582828757746351,MI,MICHIGAN,10034113,2022
47,1,0.421369608550141,TN,TENNESSEE,7051339,2022
47,2,0.291840262878868,TN,TENNESSEE,7051339,2022
31,2,0.734022225284589,NE,NEBRASKA,1967923,2022
04,1,1.47474299713904,AZ,ARIZONA,7359197,2022
13,1,0.907888440393352,GA,GEORGIA,10912876,2022
48,2,0.612149336359184,TX,TEXAS,30029572,2022
49,2,0.893019602432557,UT,UTAH,3380800,2022
05,1,0.282756832888311,AR,ARKANSAS,3045637,2022
08,1,0.575899524091887,CO,COLORADO,5839926,2022
21,1,0.993021052118263,KY,KENTUCKY,4512310,2022
04,2,0.602571735544876,AZ,ARIZONA,7359197,2022
12,2,0.62828668788508,FL,FLORIDA,22244823,2022
42,2,1.15199360798143,PA,PENNSYLVANIA,12972008,2022
48,2,0.590480768287943,TX,TEXAS,30029572,2022
39,2,0.263404678186202,OH,OHIO,11756058,2022
47,2,0.272010463697259,TN,TENNESSEE,7051339,2022
24,2,0.874698589842957,MD,MARYLAND,6164660,2022
37,2,0.680280977455904,NC,NORTH CAROLINA,10698973,2022
47,2,0.572025187224189,TN,TENNESSEE,7051339,2022
48,2,0.161519817157309,TX,TEXAS,30029572,2022
22,2,0.900175518537936,LA,LOUISIANA,4590241,2022
26,2,1.05994591240418,MI,MICHIGAN,10034113,2022
31,2,1.07060404771463,NE,NEBRASKA,1967923,2022
20,1,1.41153920147985,KS,KANSAS,2937150,2022
24,2,0.602011983533405,MD,MARYLAND,6164660,2022
13,2,2.33621069976338,GA,GEORGIA,10912876,2022
45,1,0.464190443203024,SC,SOUTH CAROLINA,5282634,2022
27,2,0.622584228578867,MN,MINNESOTA,5717184,2022
49,1,1.57259811905586,UT,UTAH,3380800,2022
55,1,1.12528991672555,WI,WISCONSIN,5892539,2022
48,2,0.334082179398555,TX,TEXAS,30029572,2022
09,2,1.43117049407354,CT,CONNECTICUT,3626205,2022
24,2,5.30566242173078,MD,MARYLAND,6164660,2022
06,2,0.935422581349505,CA,CALIFORNIA,39029342,2022
48,1,0.572706293049119,TX,TEXAS,30029572,2022
54,1,0.529387203057407,WV,WEST VIRGINIA,1775156,2022
30,2,0.588686111327114,MT,MONTANA,1122867,2022
40,2,0.736446480664745,OK,OKLAHOMA,4019800,2022
16,2,1.21566821398756,ID,IDAHO,1939033,2022
19,2,0.471547397273079,IA,IOWA,3200517,2022
06,2,1.48464755317521,CA,CALIFORNIA,39029342,2022
17,2,0.950702428379597,IL,ILLINOIS,12582032,2022
18,2,0.491018664412759,IN,INDIANA,6833037,2022
37,2,0.727055463646518,NC,NORTH CAROLINA,10698973,2022
37,1,0.96764930971294,NC,NORTH CAROLINA,10698973,2022
41,2,2.43924753817217,OR,OREGON,4240137,2022
36,2,0.424935970981432,NY,NEW YORK,19677151,2022
12,2,0.243350267729379,FL,FLORIDA,22244823,2022
37,2,0.502096953247701,NC,NORTH CAROLINA,10698973,2022
48,1,0.439188566828561,TX,TEXAS,30029572,2022
05,1,0.0146949238943572,AR,ARKANSAS,3045637,2022
45,2,0.405360184749371,SC,SOUTH CAROLINA,5282634,2022
06,2,0.605965330161286,CA,CALIFORNIA,39029342,2022
12,2,0.484508746176222,FL,FLORIDA,22244823,2022
08,2,3.08954080245452,CO,COLORADO,5839926,2022
25,2,2.40878828884102,MA,MASSACHUSETTS,6981974,2022
37,1,0.438722538641332,NC,NORTH CAROLINA,10698973,2022
26,2,0.678079127259691,MI,MICHIGAN,10034113,2022
25,2,0.504861925017565,MA,MASSACHUSETTS,6981974,2022
26,2,0.447960616323014,MI,MICHIGAN,10034113,2022
06,2,0.729290009114452,CA,CALIFORNIA,39029342,2022
18,1,1.14953132225957,IN,INDIANA,6833037,2022
08,2,0.692186752919302,CO,COLORADO,5839926,2022
48,2,0.495458646921176,TX,TEXAS,30029572,2022
04,2,0.425467371768308,AZ,ARIZONA,7359197,2022
34,2,1.49665410028468,NJ,NEW JERSEY,9261699,2022
42,2,0.67157685024591,PA,PENNSYLVANIA,12972008,2022
12,1,0.937816765848781,FL,FLORIDA,22244823,2022
12,2,1.4551375641298,FL,FLORIDA,22244823,2022
39,2,0.581866693623111,OH,OHIO,11756058,2022
51,2,0.413400286068739,VA,VIRGINIA,8683619,2022
13,2,1.04698624923847,GA,GEORGIA,10912876,2022
42,2,0.482228168385569,PA,PENNSYLVANIA,12972008,2022
05,2,0.329423100903775,AR,ARKANSAS,3045637,2022
51,2,0.323133873146642,VA,VIRGINIA,8683619,2022
55,2,1.09381609805269,WI,WISCONSIN,5892539,2022
47,2,0.585639336239203,TN,TENNESSEE,7051339,2022
18,2,0.518589905107731,IN,INDIANA,6833037,2022
42,1,1.46396477308506,PA,PENNSYLVANIA,12972008,2022
35,2,0.352941365261585,NM,NEW MEXICO,2113344,2022
51,2,0.367073501855289,VA,VIRGINIA,8683619,2022
24,2,1.06245656106443,MD,MARYLAND,6164660,2022
25,2,0.997236408879954,MA,MASSACHUSETTS,6981974,2022
26,2,0.341548640560685,MI,MICHIGAN,10034113,2022
37,1,1.23557542452611,NC,NORTH CAROLINA,10698973,2022
48,1,0.188890003351503,TX,TEXAS,30029572,2022
25,2,0.426022730204459,MA,MASSACHUSETTS,6981974,2022
12,2,0.944408435224339,FL,FLORIDA,22244823,2022
29,2,3.00532855496764,MO,MISSOURI,6177957,2022
26,2,0.787384763817672,MI,MICHIGAN,10034113,2022
06,2,0.613204132789873,CA,CALIFORNIA,39029342,2022
40,2,0.346839480181937,OK,OKLAHOMA,4019800,2022
20,2,0.538414379345946,KS,KANSAS,2937150,2022
39,2,3.48452041438611,OH,OHIO,11756058,2022
19,2,3.59384976832566,IA,IOWA,3200517,2022
06,2,0.138611796932419,CA,CALIFORNIA,39029342,2022
36,1,0.46259893578422,NY,NEW YORK,19677151,2022
06,2,0.569076829250999,CA,CALIFORNIA,39029342,2022
12,1,1.14523408083899,FL,FLORIDA,22244823,2022
17,2,1.01926531382811,IL,ILLINOIS,12582032,2022
04,2,0.651395245261524,AZ,ARIZONA,7359197,2022
53,2,0.960796840327492,WA,WASHINGTON,7785786,2022
54,1,0.211802808795702,WV,WEST VIRGINIA,1775156,2022
53,2,0.960796840327492,WA,WASHINGTON,7785786,2022
53,2,0.960796840327492,WA,WASHINGTON,7785786,2022
41,1,1.83253818698748,OR,OREGON,4240137,2022
48,1,0.529092654952123,TX,TEXAS,30029572,2022
48,2,0.504642661179908,TX,TEXAS,30029572,2022
28,1,1.65915574726103,MS,MISSISSIPPI,2940057,2022
55,1,0.202619549452238,WI,WISCONSIN,5892539,2022
26,1,1.11656373113983,MI,MICHIGAN,10034113,2022
29,1,1.63008585918674,MO,MISSOURI,6177957,2022
12,2,0.668475112846199,FL,FLORIDA,22244823,2022
53,2,0.924017253357233,WA,WASHINGTON,7785786,2022
48,2,0.946283447783068,TX,TEXAS,30029572,2022
18,2,0.686988416170541,IN,INDIANA,6833037,2022
