State,Year
Alabama,1987
Alaska,1987
Arizona,1987
Arkansas,1987
California,1987
Colorado,1987
Connecticut,1987
Delaware,1987
Florida,1987
Georgia,1987
Hawaii,1987
Idaho,1987
Illinois,1987
Indiana,1987
Iowa,1987
Kansas,1987
Kentucky,1987
Louisiana,1987
Maine,1987
Maryland,1987
Massachusetts,1987
Michigan,1987
Minnesota,1987
Mississippi,1987
Missouri,1987
Montana,1987
Nebraska,1987
Nevada,1987
New Hampshire,1987
New Jersey,1987
New Mexico,1987
New York,1987
North Carolina,1987
North Dakota,1987
Ohio,1987
Oklahoma,1987
Oregon,1987
Pennsylvania,1987
Rhode Island,1987
South Carolina,1987
South Dakota,1987
Tennessee,1987
Texas,1987
Utah,1987
Vermont,1987
Virginia,1987
Washington,1987
West Virginia,1987
Wisconsin,1987
Wyoming,1987
Alabama,1988
Alaska,1988
Arizona,1988
Arkansas,1988
California,1988
Colorado,1988
Connecticut,1988
Delaware,1988
Florida,1988
Georgia,1988
Hawaii,1988
Idaho,1988
Illinois,1988
Indiana,1988
Iowa,1988
Kansas,1988
Kentucky,1988
Louisiana,1988
Maine,1988
Maryland,1988
Massachusetts,1988
Michigan,1988
Minnesota,1988
Mississippi,1988
Missouri,1988
Montana,1988
Nebraska,1988
Nevada,1988
New Hampshire,1988
New Jersey,1988
New Mexico,1988
New York,1988
North Carolina,1988
North Dakota,1988
Ohio,1988
Oklahoma,1988
Oregon,1988
Pennsylvania,1988
Rhode Island,1988
South Carolina,1988
South Dakota,1988
Tennessee,1988
Texas,1988
Utah,1988
Vermont,1988
Virginia,1988
Washington,1988
West Virginia,1988
Wisconsin,1988
Wyoming,1988
Alabama,1989
Alaska,1989
Arizona,1989
Arkansas,1989
California,1989
Colorado,1989
Connecticut,1989
Delaware,1989
Florida,1989
Georgia,1989
Hawaii,1989
Idaho,1989
Illinois,1989
Indiana,1989
Iowa,1989
Kansas,1989
Kentucky,1989
Louisiana,1989
Maine,1989
Maryland,1989
Massachusetts,1989
Michigan,1989
Minnesota,1989
Mississippi,1989
Missouri,1989
Montana,1989
Nebraska,1989
Nevada,1989
New Hampshire,1989
New Jersey,1989
New Mexico,1989
New York,1989
North Carolina,1989
North Dakota,1989
Ohio,1989
Oklahoma,1989
Oregon,1989
Pennsylvania,1989
Rhode Island,1989
South Carolina,1989
South Dakota,1989
Tennessee,1989
Texas,1989
Utah,1989
Vermont,1989
Virginia,1989
Washington,1989
West Virginia,1989
Wisconsin,1989
