Policy,State,Date ,Year,Month,Day,Category,Direction,Description,
1,Alabama,4/7/2022,2022,April,7,Bathroom ban ,N,State law bans transgender students from using school facilities consistent with their gender identity,each policy gets a row
0,Alabama,,,,,Nondiscrimination,,No state education nondiscrimination law enumerating sexual orientation or gender identity,"Policy is a binary variable, 0 = no policy, 1 = policy (multiple rows for different types of policies in each state, even if they don't have any)"
1,Alaska,,2020,,,Nondiscrimination,P,?,"dates are the date signed into law, if not available, use Jan. 1 of the year effective"
0,Arizona,,,,,Nondiscrimination,, ,
0,Arkansas,,,,,Nondiscrimination,, ,
1,Califronia,1/1/2012,2012,January,1,Nondiscrimination,P,Prohibits discrimination in schools b/c sexual orientation or gender identity, 
1,Califronia,1/1/2012,2012,January,1,Nondiscrimination,P,State law prohibits discrimination in schools on the basis of association with someone with a listed characteristic, 
1,Colorado,,2008,,,Nondiscrimination,P,,
1,Colorado ,5/20/2021,2021,May,20,Nondiscrimination,P,amending the law; remove?,
1,Connecticut,,1997,,,Nondiscrimination,P,amended in 2011 and 2021,
1,Connecticut,,2011,,,Nondiscrimination,P,,
1,Connecticut,,2020,,,Nondiscrimination,P,,
0,Delaware ,,,,,Nondiscrimination,,,
1,District of Columbia ,,2012,,,Nondiscrimination,P,,
0,Florida,,,,,Nondiscrimination,,,
0,Georgia,,,,,Nondiscrimination,,,
1,Hawaii,,2018,,,Nondiscrimination,P,,
0,Idaho,,,,,Nondiscrimination,,,
1,Illinois,,2005,,,Nondiscrimination,P,,
0,Indiana,,,,,Nondiscrimination,,,
1,Iowa,,2007,,,Nondiscrimination,P,,
0,Kansas,,,,,Nondiscrimination,,,
0,Kentucky,,,,,Nondiscrimination,,,
0,Louisiana,,,,,Nondiscrimination,,,
1,Maine,,2005,,,Nondiscrimination,P,,
1,Maryland,,2022,,,Nondiscrimination,P,,
1,Massachusetts,,1993,,,Nondiscrimination,P,,
1,Massachusetts,,2011,,,Nondiscrimination,P,,
1,Michigan,,2022,,,Nondiscrimination,P,,
1,Minnesota,,1993,,,Nondiscrimination,P,,
0,Mississippi,,,,,Nondiscrimination,,,
1,Missouri,,2006,,,Nondiscrimination,N,antibullying 2006,is this one a repeat?
0,Montana,,,,,Nondiscrimination,,,
0,Nebraska,,,,,Nondiscrimination,,,
