"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2014 Estimate","","4,849,377","48.4%","51.6%","6.0%","6.3%","6.6%","6.8%","7.1%","12.7%","12.6%","13.4%","6.9%","6.1%","9.0%","4.7%","1.7%","38.6","77.1%","72.8%","18.9%","15.4%","3,740,777","47.6%","52.4%","746,512","43.1%","56.9%","","4,849,377","98.2%","1.8%","98.2%","68.5%","26.6%","0.5%","0.2%","0.0%","0.0%","0.0%","1.2%","0.2%","0.3%","0.1%","0.0%","0.3%","0.2%","0.2%","0.0%","N","N","N","N","1.4%","1.8%","0.6%","0.5%","0.2%","0.1%","","4,849,377","70.0%","27.5%","1.2%","1.5%","0.1%","1.6%","","4,849,377","4.0%","2.4%","0.4%","0.2%","1.0%","96.0%","66.1%","26.5%","0.4%","1.2%","0.0%","0.1%","1.6%","0.1%","1.6%","2,208,030"
"    2013 Estimate","","4,833,722","48.4%","51.6%","6.0%","6.3%","6.8%","6.8%","7.3%","12.7%","12.6%","13.7%","6.8%","6.0%","8.7%","4.5%","1.7%","38.3","77.0%","72.5%","18.5%","14.9%","3,723,831","47.7%","52.3%","721,538","42.8%","57.2%","","4,833,722","98.3%","1.7%","98.3%","68.9%","26.6%","0.5%","N","N","N","N","1.2%","0.2%","0.3%","0.1%","0.0%","0.2%","0.2%","0.2%","0.0%","N","N","N","N","1.1%","1.7%","0.6%","0.5%","0.2%","0.1%","","4,833,722","70.4%","27.4%","1.1%","1.5%","0.1%","1.3%","","4,833,722","3.9%","2.6%","0.3%","0.1%","1.0%","96.1%","66.3%","26.5%","0.4%","1.2%","0.0%","0.1%","1.5%","0.1%","1.4%","2,190,027"
"    2014 - 2013 Statistical Significance","","c","","","","","","","*","","","*","","","*","*","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","","","","","","*","","","","","","","","*","","","","","","","c","*","*","","","","*","","c","","","","*","","","*","","","","","","","","","*"
"    2012 Estimate","","4,822,023","48.5%","51.5%","6.3%","6.5%","6.7%","6.9%","7.1%","12.6%","12.8%","13.9%","6.7%","6.0%","8.4%","4.5%","1.7%","38.2","76.7%","72.2%","18.0%","14.5%","3,697,048","47.6%","52.4%","700,359","42.8%","57.2%","","4,822,023","98.4%","1.6%","98.4%","69.1%","26.5%","0.5%","N","N","N","N","1.2%","0.3%","0.3%","0.1%","0.0%","0.2%","0.2%","0.1%","0.0%","N","N","N","N","1.1%","1.6%","0.5%","0.5%","0.2%","0.1%","","4,822,023","70.5%","27.2%","1.2%","1.5%","0.1%","1.2%","","4,822,023","3.8%","2.7%","0.3%","0.1%","0.8%","96.2%","66.6%","26.3%","0.5%","1.2%","0.0%","0.1%","1.5%","0.0%","1.4%","2,189,567"
"    2014 - 2012 Statistical Significance","","c","","","*","","","","","","","*","","","*","*","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","","","","","","","","","","","","","","","*","*","","","*","","","c","*","*","","","","*","","c","*","*","*","*","*","*","*","*","","","","","","","","*"
"    2011 Estimate","","4,802,740","48.4%","51.6%","6.2%","6.3%","6.8%","7.0%","7.2%","12.7%","12.8%","14.3%","6.5%","6.2%","7.9%","4.4%","1.7%","38.1","76.6%","72.2%","17.7%","14.0%","3,678,352","47.7%","52.3%","673,790","42.3%","57.7%","","4,802,740","98.7%","1.3%","98.7%","69.1%","26.7%","0.5%","0.2%","0.0%","0.0%","0.0%","1.1%","0.2%","0.2%","0.1%","0.0%","0.2%","0.2%","0.2%","0.0%","N","N","N","N","1.2%","1.3%","0.4%","0.5%","0.2%","0.1%","","4,802,740","70.2%","27.2%","1.1%","1.4%","0.1%","1.4%","","4,802,740","3.9%","2.6%","0.3%","0.1%","0.9%","96.1%","66.7%","26.5%","0.5%","1.1%","0.0%","0.1%","1.2%","0.1%","1.1%","2,182,199"
"    2014 - 2011 Statistical Significance","","c","","","*","","","*","","","","*","*","","*","*","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","*","","","*","","","*","","","","","","","","*","*","*","","","","","c","*","*","","*","","","","c","*","*","*","*","","*","*","","","*","","","*","","*","*"
"    2010 Estimate","","4,785,298","48.5%","51.5%","6.4%","6.5%","6.7%","7.3%","7.1%","12.6%","13.0%","14.4%","6.5%","5.8%","7.7%","4.4%","1.6%","37.8","76.3%","71.6%","17.1%","13.7%","3,649,870","47.7%","52.3%","657,974","42.4%","57.6%","","4,785,298","98.6%","1.4%","98.6%","69.5%","26.4%","0.6%","N","N","N","N","1.1%","0.3%","0.2%","0.1%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","1.1%","1.4%","0.4%","0.5%","0.2%","0.1%","","4,785,298","70.7%","27.0%","1.2%","1.4%","0.1%","1.2%","","4,785,298","3.8%","2.7%","0.3%","0.0%","0.8%","96.2%","67.0%","26.3%","0.5%","1.1%","0.0%","0.0%","1.3%","0.0%","1.2%","2,174,428"
"    2014 - 2010 Statistical Significance","","c","","","*","","","*","","","*","*","*","*","*","*","*","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","*","*","","","","","*","","","","","*","","","*","","","","","*","*","*","","","","","c","*","*","","*","*","*","","c","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
