"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,858,979","2,352,810","2,506,169","285,122","318,172","308,481","332,224","332,728","624,472","612,193","644,006","335,370","304,364","450,119","229,810","81,918","38.7","3,750,571","3,547,486","937,956","761,847","3,750,571","1,787,162","1,963,409","761,847","329,305","432,542","","4,858,979","4,771,660","87,319","4,771,660","3,329,913","1,303,298","20,503","8,048","118","0","215","59,393","11,736","10,885","5,663","2,436","9,909","7,943","10,821","4,448","N","N","N","N","54,105","87,319","26,487","28,321","13,276","3,193","","4,858,979","3,408,924","1,340,849","56,591","77,232","7,944","61,172","","4,858,979","192,870","126,295","14,507","4,379","47,689","4,666,109","3,204,076","1,296,681","19,069","58,918","2,566","5,590","79,209","1,159","78,050","2,218,391","","3,653,381","1,733,691","1,919,690"
"    Percent","","4,858,979","48.4%","51.6%","5.9%","6.5%","6.3%","6.8%","6.8%","12.9%","12.6%","13.3%","6.9%","6.3%","9.3%","4.7%","1.7%","(X)","77.2%","73.0%","19.3%","15.7%","3,750,571","47.7%","52.3%","761,847","43.2%","56.8%","","4,858,979","98.2%","1.8%","98.2%","68.5%","26.8%","0.4%","0.2%","0.0%","0.0%","0.0%","1.2%","0.2%","0.2%","0.1%","0.1%","0.2%","0.2%","0.2%","0.1%","N","N","N","N","1.1%","1.8%","0.5%","0.6%","0.3%","0.1%","","4,858,979","70.2%","27.6%","1.2%","1.6%","0.2%","1.3%","","4,858,979","4.0%","2.6%","0.3%","0.1%","1.0%","96.0%","65.9%","26.7%","0.4%","1.2%","0.1%","0.1%","1.6%","0.0%","1.6%","(X)","","3,653,381","47.5%","52.5%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","738,432","388,695","349,737","54,761","52,302","48,750","50,377","62,719","118,778","91,656","93,326","50,655","44,100","48,118","17,303","5,587","33.3","552,041","519,592","95,006","71,008","552,041","292,599","259,442","71,008","35,048","35,960","","738,432","675,147","63,285","675,147","481,314","26,176","101,133","469","281","245","732","47,295","1,184","2,958","29,804","1,192","3,698","1,560","6,899","6,762","1,192","247","4,014","1,309","12,467","63,285","6,450","34,838","8,043","1,946","","738,432","537,520","36,682","143,696","60,787","11,184","15,785","","738,432","51,825","28,002","6,719","851","16,253","686,607","452,472","24,739","98,300","45,753","6,341","2,201","56,801","590","56,211","309,453","","528,248","282,486","245,762"
"    Percent","","738,432","52.6%","47.4%","7.4%","7.1%","6.6%","6.8%","8.5%","16.1%","12.4%","12.6%","6.9%","6.0%","6.5%","2.3%","0.8%","(X)","74.8%","70.4%","12.9%","9.6%","552,041","53.0%","47.0%","71,008","49.4%","50.6%","","738,432","91.4%","8.6%","91.4%","65.2%","3.5%","13.7%","0.1%","0.0%","0.0%","0.1%","6.4%","0.2%","0.4%","4.0%","0.2%","0.5%","0.2%","0.9%","0.9%","0.2%","0.0%","0.5%","0.2%","1.7%","8.6%","0.9%","4.7%","1.1%","0.3%","","738,432","72.8%","5.0%","19.5%","8.2%","1.5%","2.1%","","738,432","7.0%","3.8%","0.9%","0.1%","2.2%","93.0%","61.3%","3.4%","13.3%","6.2%","0.9%","0.3%","7.7%","0.1%","7.6%","(X)","","528,248","53.5%","46.5%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","6,828,065","3,387,385","3,440,680","429,860","456,155","460,054","464,814","480,228","914,761","845,274","842,972","415,824","398,119","652,858","335,901","131,245","37.4","5,206,537","4,914,948","1,358,724","1,120,004","5,206,537","2,561,598","2,644,939","1,120,004","515,072","604,932","","6,828,065","6,605,619","222,446","6,605,619","5,285,994","300,685","308,469","2,368","798","151,678","1,415","217,556","53,595","43,248","34,277","10,832","17,489","31,068","27,047","11,284","2,947","1,493","2,302","4,542","481,631","222,446","49,829","48,119","44,757","4,804","","6,828,065","5,479,838","374,345","376,636","281,822","24,649","530,418","","6,828,065","2,098,411","1,887,714","39,163","13,010","158,524","4,729,654","3,802,263","282,718","276,132","210,922","9,963","6,951","140,705","3,761","136,944","2,929,173","","4,710,448","2,315,216","2,395,232"
"    Percent","","6,828,065","49.6%","50.4%","6.3%","6.7%","6.7%","6.8%","7.0%","13.4%","12.4%","12.3%","6.1%","5.8%","9.6%","4.9%","1.9%","(X)","76.3%","72.0%","19.9%","16.4%","5,206,537","49.2%","50.8%","1,120,004","46.0%","54.0%","","6,828,065","96.7%","3.3%","96.7%","77.4%","4.4%","4.5%","0.0%","0.0%","2.2%","0.0%","3.2%","0.8%","0.6%","0.5%","0.2%","0.3%","0.5%","0.4%","0.2%","0.0%","0.0%","0.0%","0.1%","7.1%","3.3%","0.7%","0.7%","0.7%","0.1%","","6,828,065","80.3%","5.5%","5.5%","4.1%","0.4%","7.8%","","6,828,065","30.7%","27.6%","0.6%","0.2%","2.3%","69.3%","55.7%","4.1%","4.0%","3.1%","0.1%","0.1%","2.1%","0.1%","2.0%","(X)","","4,710,448","49.2%","50.8%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
