"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!Under 18 years","SEX AND AGE!!16 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","SEX AND AGE!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,874,747","2,359,896","2,514,851","93.8","288,897","299,117","314,609","336,176","326,341","628,878","596,006","630,330","329,812","321,365","480,913","239,635","82,668","38.9","1,094,061","3,906,384","3,780,686","3,564,164","993,444","803,216","3,780,686","1,799,902","1,980,784","90.9","803,216","348,847","454,369","76.8","","4,874,747","4,781,163","93,584","4,781,163","3,312,718","1,307,467","25,181","8,841","18","63","15","66,908","12,572","13,258","6,084","3,828","11,348","9,939","9,879","1,581","N","N","N","N","67,308","93,584","33,543","23,388","10,983","5,995","","4,874,747","3,395,370","1,356,161","59,414","83,555","3,573","77,543","","4,874,747","201,970","117,518","22,027","4,541","57,884","4,672,777","3,191,450","1,302,295","22,209","65,494","1,432","8,106","81,791","2,182","79,609","2,258,669","","3,688,249","1,750,050","1,938,199"
"    Percent","","4,874,747","48.4%","51.6%","(X)","5.9%","6.1%","6.5%","6.9%","6.7%","12.9%","12.2%","12.9%","6.8%","6.6%","9.9%","4.9%","1.7%","(X)","22.4%","80.1%","77.6%","73.1%","20.4%","16.5%","3,780,686","47.6%","52.4%","(X)","803,216","43.4%","56.6%","(X)","","4,874,747","98.1%","1.9%","98.1%","68.0%","26.8%","0.5%","0.2%","0.0%","0.0%","0.0%","1.4%","0.3%","0.3%","0.1%","0.1%","0.2%","0.2%","0.2%","0.0%","N","N","N","N","1.4%","1.9%","0.7%","0.5%","0.2%","0.1%","","4,874,747","69.7%","27.8%","1.2%","1.7%","0.1%","1.6%","","4,874,747","4.1%","2.4%","0.5%","0.1%","1.2%","95.9%","65.5%","26.7%","0.5%","1.3%","0.0%","0.2%","1.7%","0.0%","1.6%","(X)","","3,688,249","47.4%","52.6%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","739,795","385,776","354,019","109.0","52,919","54,491","48,746","47,758","54,320","118,149","97,124","89,052","49,003","45,192","56,838","20,163","6,040","34.5","185,181","573,196","554,614","525,783","107,917","83,041","554,614","291,715","262,899","111.0","83,041","41,539","41,502","100.1","","739,795","676,405","63,390","676,405","474,856","22,107","109,948","878","447","56","216","49,385","272","2,005","26,637","1,436","4,142","1,487","13,406","8,830","493","212","4,614","3,511","11,279","63,390","7,772","32,874","8,085","1,829","","739,795","531,861","34,537","150,704","63,830","12,626","15,089","","739,795","51,712","27,896","7,737","636","15,443","688,083","448,081","21,192","105,146","48,569","8,699","1,210","55,186","774","54,412","316,968","","531,653","281,264","250,389"
"    Percent","","739,795","52.1%","47.9%","(X)","7.2%","7.4%","6.6%","6.5%","7.3%","16.0%","13.1%","12.0%","6.6%","6.1%","7.7%","2.7%","0.8%","(X)","25.0%","77.5%","75.0%","71.1%","14.6%","11.2%","554,614","52.6%","47.4%","(X)","83,041","50.0%","50.0%","(X)","","739,795","91.4%","8.6%","91.4%","64.2%","3.0%","14.9%","0.1%","0.1%","0.0%","0.0%","6.7%","0.0%","0.3%","3.6%","0.2%","0.6%","0.2%","1.8%","1.2%","0.1%","0.0%","0.6%","0.5%","1.5%","8.6%","1.1%","4.4%","1.1%","0.2%","","739,795","71.9%","4.7%","20.4%","8.6%","1.7%","2.0%","","739,795","7.0%","3.8%","1.0%","0.1%","2.1%","93.0%","60.6%","2.9%","14.2%","6.6%","1.2%","0.2%","7.5%","0.1%","7.4%","(X)","","531,653","52.9%","47.1%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,016,270","3,487,722","3,528,548","98.8","435,041","439,162","478,839","476,414","475,452","953,327","859,457","850,441","433,857","413,430","701,165","368,747","130,938","37.7","1,632,728","5,571,583","5,383,542","5,084,668","1,447,871","1,200,850","5,383,542","2,655,396","2,728,146","97.3","1,200,850","553,556","647,294","85.5","","7,016,270","6,749,869","266,401","6,749,869","5,442,417","307,655","317,974","2,712","441","148,420","1,207","232,517","62,673","43,520","45,846","8,688","14,210","30,312","27,268","16,453","4,138","2,616","880","8,819","432,853","266,401","63,062","57,171","46,362","6,877","","7,016,270","5,666,683","399,987","404,869","302,879","36,763","494,491","","7,016,270","2,202,173","1,961,646","44,901","14,561","181,065","4,814,097","3,836,639","290,379","274,496","225,810","14,951","12,312","159,510","6,986","152,524","2,999,185","","4,895,706","2,412,036","2,483,670"
"    Percent","","7,016,270","49.7%","50.3%","(X)","6.2%","6.3%","6.8%","6.8%","6.8%","13.6%","12.2%","12.1%","6.2%","5.9%","10.0%","5.3%","1.9%","(X)","23.3%","79.4%","76.7%","72.5%","20.6%","17.1%","5,383,542","49.3%","50.7%","(X)","1,200,850","46.1%","53.9%","(X)","","7,016,270","96.2%","3.8%","96.2%","77.6%","4.4%","4.5%","0.0%","0.0%","2.1%","0.0%","3.3%","0.9%","0.6%","0.7%","0.1%","0.2%","0.4%","0.4%","0.2%","0.1%","0.0%","0.0%","0.1%","6.2%","3.8%","0.9%","0.8%","0.7%","0.1%","","7,016,270","80.8%","5.7%","5.8%","4.3%","0.5%","7.0%","","7,016,270","31.4%","28.0%","0.6%","0.2%","2.6%","68.6%","54.7%","4.1%","3.9%","3.2%","0.2%","0.2%","2.3%","0.1%","2.2%","(X)","","4,895,706","49.3%","50.7%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
