"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Total population!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!Under 5 years","SEX AND AGE!!Total population!!5 to 9 years","SEX AND AGE!!Total population!!10 to 14 years","SEX AND AGE!!Total population!!15 to 19 years","SEX AND AGE!!Total population!!20 to 24 years","SEX AND AGE!!Total population!!25 to 34 years","SEX AND AGE!!Total population!!35 to 44 years","SEX AND AGE!!Total population!!45 to 54 years","SEX AND AGE!!Total population!!55 to 59 years","SEX AND AGE!!Total population!!60 to 64 years","SEX AND AGE!!Total population!!65 to 74 years","SEX AND AGE!!Total population!!75 to 84 years","SEX AND AGE!!Total population!!85 years and over","SEX AND AGE!!Total population!!Median age (years)","SEX AND AGE!!Total population!!Under 18 years","SEX AND AGE!!Total population!!16 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!21 years and over","SEX AND AGE!!Total population!!62 years and over","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!18 years and over","SEX AND AGE!!Total population!!18 years and over!!Male","SEX AND AGE!!Total population!!18 years and over!!Female","SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females)","SEX AND AGE!!Total population!!65 years and over","SEX AND AGE!!Total population!!65 years and over!!Male","SEX AND AGE!!Total population!!65 years and over!!Female","SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females)","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!Total population!!One race","RACE!!Total population!!One race!!White","RACE!!Total population!!One race!!Black or African American","RACE!!Total population!!One race!!American Indian and Alaska Native","RACE!!Total population!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!Total population!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!Total population!!One race!!Asian","RACE!!Total population!!One race!!Asian!!Asian Indian","RACE!!Total population!!One race!!Asian!!Chinese","RACE!!Total population!!One race!!Asian!!Filipino","RACE!!Total population!!One race!!Asian!!Japanese","RACE!!Total population!!One race!!Asian!!Korean","RACE!!Total population!!One race!!Asian!!Vietnamese","RACE!!Total population!!One race!!Asian!!Other Asian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!Total population!!One race!!Some other race","RACE!!Total population!!Two or more races","RACE!!Total population!!Two or more races!!White and Black or African American","RACE!!Total population!!Two or more races!!White and American Indian and Alaska Native","RACE!!Total population!!Two or more races!!White and Asian","RACE!!Total population!!Two or more races!!Black or African American and American Indian and Alaska Native","Race alone or in combination with one or more other races","Race alone or in combination with one or more other races!!Total population","Race alone or in combination with one or more other races!!Total population!!White","Race alone or in combination with one or more other races!!Total population!!Black or African American","Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","Race alone or in combination with one or more other races!!Total population!!Asian","Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,903,185","2,369,611","2,533,574","93.5","286,597","294,475","317,645","326,671","317,739","637,403","605,739","609,391","321,296","331,917","505,557","264,071","84,684","39.4","1,085,597","3,937,453","3,817,588","3,608,467","1,047,557","854,312","3,817,588","1,812,854","2,004,734","90.4","854,312","373,043","481,269","77.5","","4,903,185","4,811,663","91,522","4,811,663","3,326,375","1,319,551","23,265","N","N","N","N","66,129","13,010","15,902","7,149","2,065","12,376","7,456","8,171","1,892","1,241","226","0","425","74,451","91,522","34,445","24,552","14,446","1,663","","4,903,185","3,409,415","1,364,474","53,674","87,434","5,386","81,472","","4,903,185","219,296","124,329","22,045","6,682","66,240","4,683,889","3,192,955","1,312,821","19,364","65,215","1,520","9,623","82,391","2,245","80,146","2,284,922","","3,731,336","1,768,386","1,962,950"
"    Percent","","4,903,185","48.3%","51.7%","(X)","5.8%","6.0%","6.5%","6.7%","6.5%","13.0%","12.4%","12.4%","6.6%","6.8%","10.3%","5.4%","1.7%","(X)","22.1%","80.3%","77.9%","73.6%","21.4%","17.4%","3,817,588","47.5%","52.5%","(X)","854,312","43.7%","56.3%","(X)","","4,903,185","98.1%","1.9%","98.1%","67.8%","26.9%","0.5%","N","N","N","N","1.3%","0.3%","0.3%","0.1%","0.0%","0.3%","0.2%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.5%","1.9%","0.7%","0.5%","0.3%","0.0%","","4,903,185","69.5%","27.8%","1.1%","1.8%","0.1%","1.7%","","4,903,185","4.5%","2.5%","0.4%","0.1%","1.4%","95.5%","65.1%","26.8%","0.4%","1.3%","0.0%","0.2%","1.7%","0.0%","1.6%","(X)","","3,731,336","47.4%","52.6%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","731,545","380,433","351,112","108.4","50,891","52,692","49,737","46,531","47,636","117,978","93,035","87,687","48,858","45,912","61,658","22,265","6,665","35.0","179,749","569,699","551,796","523,018","118,043","90,588","551,796","287,256","264,540","108.6","90,588","44,793","45,795","97.8","","731,545","674,069","57,476","674,069","469,771","22,551","115,544","1,517","247","138","41","43,678","671","1,778","25,339","2,272","5,929","1,013","6,676","9,923","N","N","N","N","12,602","57,476","7,397","24,557","11,989","1,208","","731,545","521,962","34,639","147,358","61,551","13,352","15,700","","731,545","52,548","28,490","6,537","1,610","15,911","678,997","437,714","21,773","113,467","43,322","9,715","2,096","50,910","672","50,238","319,867","","533,151","278,479","254,672"
"    Percent","","731,545","52.0%","48.0%","(X)","7.0%","7.2%","6.8%","6.4%","6.5%","16.1%","12.7%","12.0%","6.7%","6.3%","8.4%","3.0%","0.9%","(X)","24.6%","77.9%","75.4%","71.5%","16.1%","12.4%","551,796","52.1%","47.9%","(X)","90,588","49.4%","50.6%","(X)","","731,545","92.1%","7.9%","92.1%","64.2%","3.1%","15.8%","0.2%","0.0%","0.0%","0.0%","6.0%","0.1%","0.2%","3.5%","0.3%","0.8%","0.1%","0.9%","1.4%","N","N","N","N","1.7%","7.9%","1.0%","3.4%","1.6%","0.2%","","731,545","71.4%","4.7%","20.1%","8.4%","1.8%","2.1%","","731,545","7.2%","3.9%","0.9%","0.2%","2.2%","92.8%","59.8%","3.0%","15.5%","5.9%","1.3%","0.3%","7.0%","0.1%","6.9%","(X)","","533,151","52.2%","47.8%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,278,717","3,620,935","3,657,782","99.0","427,707","445,512","486,413","483,546","490,999","1,001,594","898,533","853,081","445,006","439,085","751,831","424,605","130,805","38.3","1,639,648","5,820,607","5,639,069","5,332,094","1,564,977","1,307,241","5,639,069","2,782,081","2,856,988","97.4","1,307,241","601,487","705,754","85.2","","7,278,717","6,998,143","280,574","6,998,143","5,701,810","343,729","332,273","1,639","1,363","160,420","1,956","241,721","71,377","43,182","46,314","9,742","16,047","24,011","31,048","14,168","3,464","2,713","3,252","4,739","364,442","280,574","61,967","56,836","62,786","7,782","","7,278,717","5,947,783","434,612","412,256","331,649","31,725","422,541","","7,278,717","2,310,592","2,024,770","48,793","18,147","218,882","4,968,125","3,929,213","319,045","289,161","235,202","13,361","10,110","172,033","5,109","166,924","3,076,048","","5,137,474","2,533,931","2,603,543"
"    Percent","","7,278,717","49.7%","50.3%","(X)","5.9%","6.1%","6.7%","6.6%","6.7%","13.8%","12.3%","11.7%","6.1%","6.0%","10.3%","5.8%","1.8%","(X)","22.5%","80.0%","77.5%","73.3%","21.5%","18.0%","5,639,069","49.3%","50.7%","(X)","1,307,241","46.0%","54.0%","(X)","","7,278,717","96.1%","3.9%","96.1%","78.3%","4.7%","4.6%","0.0%","0.0%","2.2%","0.0%","3.3%","1.0%","0.6%","0.6%","0.1%","0.2%","0.3%","0.4%","0.2%","0.0%","0.0%","0.0%","0.1%","5.0%","3.9%","0.9%","0.8%","0.9%","0.1%","","7,278,717","81.7%","6.0%","5.7%","4.6%","0.4%","5.8%","","7,278,717","31.7%","27.8%","0.7%","0.2%","3.0%","68.3%","54.0%","4.4%","4.0%","3.2%","0.2%","0.1%","2.4%","0.1%","2.3%","(X)","","5,137,474","49.3%","50.7%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
