state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
ALABAMA,3329913,192870,1303298,2506169,2015,AL,4852347,0.268591261094889,0.686247912608064,0.039747775664024,0.516485939690628,0.483514060309372
ALASKA,481314,51825,26176,349737,2015,AK,737498,0.0354929776080749,0.652630922388942,0.0702713770071241,0.474220947039856,0.525779052960144
ARIZONA,5285994,2098411,300685,3440680,2015,AZ,6829676,0.044026246633076,0.773974343731679,0.307248982235761,0.503783781251117,0.496216218748884
ARKANSAS,2308047,207743,469555,1514628,2015,AR,2978048,0.157672072444769,0.775020080267343,0.0697581100103155,0.508597578010831,0.491402421989169
CALIFORNIA,23824254,15184545,2277229,19704260,2015,CA,38918045,0.0585134479391244,0.612164716907029,0.390167209067156,0.50630138281612,0.49369861718388
COLORADO,4607390,1164278,224809,2715554,2015,CO,5450623,0.0412446430435567,0.845296033132359,0.213604573275385,0.498209837664428,0.501790162335572
CONNECTICUT,2747943,553783,380571,1838823,2015,CT,3587122,0.106093687362738,0.766057859197429,0.154380865774847,0.512617914863225,0.487382085136775
DELAWARE,654904,85306,203863,487726,2015,DE,941252,0.216587056388725,0.69577966368199,0.0906303519142589,0.518167292074811,0.481832707925189
FLORIDA,15357374,4962905,3280778,10380034,2015,FL,20209042,0.162342084300681,0.759925878722999,0.245578439591545,0.513633154901652,0.486366845098348
GEORGIA,6077438,950093,3197929,5239402,2015,GA,10178447,0.314186339035808,0.59708892722043,0.0933436112601461,0.514754559315385,0.485245440684615
HAWAII,372252,148705,29644,706968,2015,HI,1422052,0.0208459324975458,0.261771018218743,0.104570718932922,0.497146377207022,0.502853622792978
IDAHO,1514404,199840,8828,828111,2015,ID,1651059,0.00534687131107974,0.91723190994386,0.121037467467849,0.501563541944897,0.498436458055103
ILLINOIS,9238679,2171988,1844624,6549560,2015,IL,12858913,0.143451005539893,0.718465005556846,0.168909144964275,0.509340097409478,0.490659902590522
