state_name,year,population_total,ID,female_pop,male_pop,black_pop,pct_hispanic,pct_white,white_pop,hispanic_pop,pct_female,pct_male,pct_black,hs_educ,hs_pct,college_educ,college_pct,incomepcap,evangelical_pop,pollib_median,state_num,unified,party_control,state.x,state_no,std_bowen1,std_bowen2,popfemale,popmale,pop_black,pop_white,pctblack.y,init,initiatives,std_init_use
ALABAMA,1987,4083000,1,,,1013455,,,,,,,,,,,,12735,56.700001,1.81789880479222,,0,"",AL,1,-1.0958773,-0.12651303,,,,,0.253344595432282,1,0,-0.290064643871566
ALASKA,1987,525000,2,,,21388,,,,,,,,,,,,19244,16.799999,-0.488276133624929,,0,"",AK,2,1.9701391,0.77498525,,,,,0.0367879308760166,2,0,-0.290064643871566
ARIZONA,1987,3386000,3,,,105045,,,,,,,,,,,,14896,15.5,0.689367363034263,,1,"",AZ,3,0.41576687,-0.78148305,,,,,0.0292983818799257,2,0,-0.290064643871566
ARKANSAS,1987,2388000,4,,,375062,,,,,,,,,,,,12023,46.400002,1.45686997230571,,1,"",AR,4,-1.0594815,0.29788938,,,,,0.16245473921299,2,0,-0.290064643871566
CALIFORNIA,1987,27663000,5,,,2137519,,,,,,,,,,,,18447,10.9,-1.1310660239695,,0,"",CA,5,5.9896784,2.4293506,,,,,0.0747056752443314,2,0,-0.290064643871566
COLORADO,1987,3296000,6,,,131190,,,,,,,,,,,,16205,13.6,0.176056263618642,,0,"",CO,6,0.68803728,-1.217082,,,,,0.0374880917370319,2,0,-0.290064643871566
CONNECTICUT,1987,3211000,7,,,263542,,,,,,,,,,,,21573,5.4000001,-0.662700346326531,,1,"",CT,7,0.22664899,-0.26158458,,,,,0.0803064331412315,1,0,-0.290064643871566
DELAWARE,1987,644000,8,,,106118,,,,,,,,,,,,17604,11.5,-0.251872529799092,,0,"",DE,8,0.43314573,-0.79756671,,,,,0.168882608413696,1,0,-0.290064643871566
FLORIDA,1987,12023000,9,,,1629846,,,,,,,,,,,,16193,19.6,1.06040406659399,,0,"",FL,9,0.3895444,0.87182647,,,,,0.136217832565308,2,0,-0.290064643871566
GEORGIA,1987,6222000,10,,,1673702,,,,,,,,,,,,14679,41.5,1.34825438726348,,1,"",GA,10,-0.92296535,0.18579619,,,,,0.268052577972412,1,0,-0.290064643871566
HAWAII,1987,1083000,11,,,25645,,,,,,,,,,,,17118,9.8000002,-1.05905509188977,,1,"",HI,11,0.056244627,0.19911325,,,,,0.0221296362578869,1,0,-0.290064643871566
IDAHO,1987,998000,12,,,3290,,,,,,,,,,,,12428,35.799999,0.599990241796984,,0,"",ID,12,-1.0666804,-0.44781342,,,,,0.0032206189353019,2,0,-0.290064643871566
ILLINOIS,1987,11582000,13,,,1690808,,,,,,,,,,,,17236,14,-0.453644797826327,,0,"",IL,13,1.0317093,0.51597536,,,,,0.153484642505646,2,0,-0.290064643871566
INDIANA,1987,5531000,14,,,418601,,,,,,,,,,,,14522,19.4,0.276771477356,,1,"",IN,14,-0.65658468,0.23648259,,,,,0.0776020139455795,1,0,-0.290064643871566
IOWA,1987,2834000,15,,,45156,,,,,,,,,,,,14786,11.9,-0.37990278347142,,0,"",IA,15,-0.19381107,-0.41122103,,,,,0.0165469273924828,1,0,-0.290064643871566
KANSAS,1987,2476000,16,,,139599,,,,,,,,,,,,15567,18.1,0.107812289870844,,1,"",KS,16,-0.82707322,-0.39398232,,,,,0.0575250014662743,1,0,-0.290064643871566
KENTUCKY,1987,3727000,17,,,261093,,,,,,,,,,,,12485,39.799999,0.549245754344864,,1,"",KY,17,-1.1614263,0.38709936,,,,,0.0707625895738602,1,0,-0.290064643871566
LOUISIANA,1987,4461000,18,,,1317095,,,,,,,,,,,,12219,31.700001,1.30136680885627,,1,"",LA,18,0.20261919,-0.15144576,,,,,0.297915816307068,1,0,-0.290064643871566
MAINE,1987,1187000,19,,,4621,,,,,,,,,,,,14434,3.3,-0.621067553485776,,0,"",ME,19,-0.52492458,-0.62118751,,,,,0.00384241668507457,2,1,0.339392154505543
MARYLAND,1987,4535000,20,,,1110139,,,,,,,,,,,,19067,13.4,-0.58037225271308,,1,"",MD,20,-0.086127751,0.11293641,,,,,0.243511900305748,1,0,-0.290064643871566
MASSACHUSETTS,1987,5855000,21,,,303520,,,,,,,,,,,,19397,3.3,-1.21216217000195,,1,"",MA,21,-0.47705486,0.63407362,,,,,0.046847403049469,2,0,-0.290064643871566
MICHIGAN,1987,9200000,22,,,1250671,,,,,,,,,,,,15964,14.5,-0.714098699559884,,0,"",MI,22,4.3080134,-2.1438696,,,,,0.137320324778557,2,0,-0.290064643871566
MINNESOTA,1987,4246000,23,,,83152,,,,,,,,,,,,16737,12.1,-0.709285616747458,,1,"",MN,23,0.1576355,0.33381969,,,,,0.0195614993572235,1,0,-0.290064643871566
MISSISSIPPI,1987,2625000,24,,,914650,,,,,,,,,,,,10799,55.200001,1.59015399236103,,1,"",MS,24,-0.42802915,-0.56271237,,,,,0.348720461130142,1,0,-0.290064643871566
MISSOURI,1987,5103000,25,,,539251,,,,,,,,,,,,15139,29.5,0.252668258522948,,0,"",MO,25,0.3741816,-0.63608974,,,,,0.105443358421326,2,0,-0.290064643871566
MONTANA,1987,809000,26,,,2282,,,,,,,,,,,,12848,14.1,-0.326982329001499,,0,"",MT,26,-1.3104514,0.053967014,,,,,0.00271792057901621,2,0,-0.290064643871566
NEBRASKA,1987,1594000,27,,,54320,,,,,,,,,,,,14947,16.9,0.0914870174244313,,0,"",NE,27,-0.31645337,-0.16973768,,,,,0.0341041274368763,2,0,-0.290064643871566
NEVADA,1987,1007000,28,,,66071,,,,,,,,,,,,16713,14.4,0.586959006498089,,0,"",NV,28,-0.86132604,0.040774722,,,,,0.0705006048083305,2,0,-0.290064643871566
NEW HAMPSHIRE,1987,1057000,29,,,6416,,,,,,,,,,,,18088,2.5999999,0.0906955656437357,,1,"",NH,29,-1.7556112,0.29169118,,,,,0.00575981801375747,1,0,-0.290064643871566
NEW JERSEY,1987,7672000,30,,,1029375,,,,,,,,,,,,19952,5.8000002,-1.4085805222569,,0,"",NJ,30,0.74559498,1.1397375,,,,,0.130292236804962,1,0,-0.290064643871566
NEW MEXICO,1987,1500000,31,,,30100,,,,,,,,,,,,12638,20.700001,-0.0444479615213298,,0,"",NM,31,-1.4323794,0.3138566,,,,,0.0187122002243996,1,0,-0.290064643871566
NEW YORK,1987,17825000,32,,,2909894,,,,,,,,,,,,18978,6.5,-1.60462837060587,,0,"",NY,32,-0.6131233,0.88131964,,,,,0.151282444596291,1,0,-0.290064643871566
NORTH CAROLINA,1987,6413000,33,,,1407587,,,,,,,,,,,,14241,40,1.03462240328844,,0,"",NC,33,-0.37812349,-0.44602573,,,,,0.221115931868553,1,0,-0.290064643871566
NORTH DAKOTA,1987,672000,34,,,3416,,,,,,,,,,,,13589,12.2,0.794653733257731,,0,"",ND,34,-1.4354267,0.13803853,,,,,0.00485236896201968,2,0,-0.290064643871566
OHIO,1987,10784000,35,,,1122464,,,,,,,,,,,,15529,13.8,-0.252430213791399,,0,"",OH,35,4.4785709,-2.3236535,,,,,0.102854616940022,2,1,0.339392154505543
