state,state_no,state_name,state_fips,state_icpsr,year,female_pop,male_pop,black_pop,pct_hispanic,pct_white
AK,2,ALASKA,2,81,1987,,,21388,,
AK,2,ALASKA,2,81,1988,,,21822,,
AK,2,ALASKA,2,81,1989,,,22443,,
AK,2,ALASKA,2,81,1990,,,22665,,
AK,2,ALASKA,2,81,1991,,,23030,,
AK,2,ALASKA,2,81,1992,,,24744,,
AK,2,ALASKA,2,81,1993,,,26577,,
AK,2,ALASKA,2,81,1994,286678,319598,26129,,
AK,2,ALASKA,2,81,1995,286477,317140,24854,,
AK,2,ALASKA,2,81,1996,287709,319298,24463,,
AK,2,ALASKA,2,81,1997,289073,320238,25352,,
AK,2,ALASKA,2,81,1998,291786,322224,26194,,
AK,2,ALASKA,2,81,1999,294423,325077,26610,,
AK,2,ALASKA,2,81,2000,302820,324112,26849,,
AK,2,ALASKA,2,81,2001,,,27839,,
AK,2,ALASKA,2,81,2002,310665,333121,29080,,
AK,2,ALASKA,2,81,2003,313539,335279,29650,,
AK,2,ALASKA,2,81,2004,316525,338910,30696,,
AK,2,ALASKA,2,81,2005,320479,343182,31363,,
AK,2,ALASKA,2,81,2006,323642,346411,31886,,
AK,2,ALASKA,2,81,2007,328638,354840,32787,,
AK,2,ALASKA,2,81,2008,328686,357607,33941,,
AK,2,ALASKA,2,81,2009,336248,362225,34302,,
AK,2,ALASKA,2,81,2010,340603,369628,,,
AK,2,ALASKA,2,81,2011,,,,,
AK,2,ALASKA,2,81,2012,,,,,
AK,2,ALASKA,2,81,2013,,,,6.6,62.5
AK,2,ALASKA,2,81,2014,,,,6.7,61.8
AK,2,ALASKA,2,81,2015,,,,7,61.3
AK,2,ALASKA,2,81,2016,,,,6.9,61
AK,2,ALASKA,2,81,2017,,,,7,60.6
AK,2,ALASKA,2,81,2018,,,,,
AK,2,ALASKA,2,81,2019,,,,,
AK,2,ALASKA,2,81,2020,,,,,
AL,1,ALABAMA,1,41,1987,,,1013455,,
AL,1,ALABAMA,1,41,1988,,,1015878,,
AL,1,ALABAMA,1,41,1989,,,1018269,,
AL,1,ALABAMA,1,41,1990,,,1024198,,
AL,1,ALABAMA,1,41,1991,,,1040280,,
AL,1,ALABAMA,1,41,1992,,,1060627,,
AL,1,ALABAMA,1,41,1993,,,1081479,,
AL,1,ALABAMA,1,41,1994,2200000,2e+06,1099593,,
AL,1,ALABAMA,1,41,1995,2200000,2e+06,1114033,,
AL,1,ALABAMA,1,41,1996,2200000,2100000,1125093,,
AL,1,ALABAMA,1,41,1997,2200000,2100000,1140120,,
AL,1,ALABAMA,1,41,1998,2300000,2100000,1152248,,
AL,1,ALABAMA,1,41,1999,2300000,2100000,1162673,,
AL,1,ALABAMA,1,41,2000,2300000,2100000,1170722,,
AL,1,ALABAMA,1,41,2001,,,1176901,,
AL,1,ALABAMA,1,41,2002,2300000,2200000,1180598,,
AL,1,ALABAMA,1,41,2003,2300000,2200000,1186654,,
AL,1,ALABAMA,1,41,2004,2300000,2200000,1193528,,
AL,1,ALABAMA,1,41,2005,2300000,2200000,1203260,,
AL,1,ALABAMA,1,41,2006,2400000,2200000,1220450,,
AL,1,ALABAMA,1,41,2007,2400000,2200000,1232091,,
AL,1,ALABAMA,1,41,2008,2400000,2300000,1246105,,
AL,1,ALABAMA,1,41,2009,2400000,2300000,1255769,,
AL,1,ALABAMA,1,41,2010,2500000,2300000,,,
AL,1,ALABAMA,1,41,2011,,,,,
AL,1,ALABAMA,1,41,2012,,,,,
AL,1,ALABAMA,1,41,2013,,,,3.9,66.3
AL,1,ALABAMA,1,41,2014,,,,4,66.1
AL,1,ALABAMA,1,41,2015,,,,4,65.9
AL,1,ALABAMA,1,41,2016,,,,4.1,65.7
AL,1,ALABAMA,1,41,2017,,,,4.1,65.5
AL,1,ALABAMA,1,41,2018,,,,,
AL,1,ALABAMA,1,41,2019,,,,,
AL,1,ALABAMA,1,41,2020,,,,,
AR,4,ARKANSAS,5,42,1987,,,375062,,
AR,4,ARKANSAS,5,42,1988,,,374526,,
AR,4,ARKANSAS,5,42,1989,,,374693,,
AR,4,ARKANSAS,5,42,1990,,,375370,,
AR,4,ARKANSAS,5,42,1991,,,380194,,
AR,4,ARKANSAS,5,42,1992,,,386732,,
AR,4,ARKANSAS,5,42,1993,,,393794,,
AR,4,ARKANSAS,5,42,1994,1300000,1200000,398538,,
AR,4,ARKANSAS,5,42,1995,1300000,1200000,404627,,
AR,4,ARKANSAS,5,42,1996,1300000,1200000,411450,,
AR,4,ARKANSAS,5,42,1997,1300000,1200000,416291,,
AR,4,ARKANSAS,5,42,1998,1300000,1200000,420780,,
AR,4,ARKANSAS,5,42,1999,1300000,1200000,424438,,
AR,4,ARKANSAS,5,42,2000,1400000,1300000,427263,,
AR,4,ARKANSAS,5,42,2001,,,430202,,
AR,4,ARKANSAS,5,42,2002,1400000,1300000,432785,,
AR,4,ARKANSAS,5,42,2003,1400000,1300000,435551,,
AR,4,ARKANSAS,5,42,2004,1400000,1300000,439602,,
AR,4,ARKANSAS,5,42,2005,1400000,1400000,443516,,
AR,4,ARKANSAS,5,42,2006,1400000,1400000,451459,,
AR,4,ARKANSAS,5,42,2007,1400000,1400000,454984,,
AR,4,ARKANSAS,5,42,2008,1500000,1400000,460994,,
AR,4,ARKANSAS,5,42,2009,1500000,1400000,465473,,
AR,4,ARKANSAS,5,42,2010,1500000,1400000,,,
AR,4,ARKANSAS,5,42,2011,,,,,
AR,4,ARKANSAS,5,42,2012,,,,,
AR,4,ARKANSAS,5,42,2013,,,,6.9,73.6
AR,4,ARKANSAS,5,42,2014,,,,6.9,73.4
AR,4,ARKANSAS,5,42,2015,,,,7,73
AR,4,ARKANSAS,5,42,2016,,,,7.2,72.8
AR,4,ARKANSAS,5,42,2017,,,,7.4,72.3
AR,4,ARKANSAS,5,42,2018,,,,,
AR,4,ARKANSAS,5,42,2019,,,,,
AR,4,ARKANSAS,5,42,2020,,,,,
AZ,3,ARIZONA,4,61,1987,,,105045,,
AZ,3,ARIZONA,4,61,1988,,,109100,,
AZ,3,ARIZONA,4,61,1989,,,112936,,
AZ,3,ARIZONA,4,61,1990,,,115796,,
AZ,3,ARIZONA,4,61,1991,,,121994,,
AZ,3,ARIZONA,4,61,1992,,,127617,,
AZ,3,ARIZONA,4,61,1993,,,133252,,
AZ,3,ARIZONA,4,61,1994,2100000,2e+06,141948,,
AZ,3,ARIZONA,4,61,1995,2100000,2100000,150424,,
AZ,3,ARIZONA,4,61,1996,2200000,2200000,157868,,
AZ,3,ARIZONA,4,61,1997,2300000,2300000,164445,,
AZ,3,ARIZONA,4,61,1998,2400000,2300000,171440,,
AZ,3,ARIZONA,4,61,1999,2400000,2400000,177619,,
AZ,3,ARIZONA,4,61,2000,2600000,2600000,184811,,
AZ,3,ARIZONA,4,61,2001,,,195273,,
AZ,3,ARIZONA,4,61,2002,2700000,2700000,206303,,
AZ,3,ARIZONA,4,61,2003,2800000,2800000,216877,,
AZ,3,ARIZONA,4,61,2004,2900000,2900000,230765,,
AZ,3,ARIZONA,4,61,2005,3e+06,3e+06,248084,,
AZ,3,ARIZONA,4,61,2006,3100000,3100000,268418,,
AZ,3,ARIZONA,4,61,2007,3200000,3200000,286026,,
AZ,3,ARIZONA,4,61,2008,3200000,3300000,302727,,
AZ,3,ARIZONA,4,61,2009,3300000,3300000,317131,,
AZ,3,ARIZONA,4,61,2010,3200000,3200000,,,
AZ,3,ARIZONA,4,61,2011,,,,,
AZ,3,ARIZONA,4,61,2012,,,,,
AZ,3,ARIZONA,4,61,2013,,,,30.3,56.6
AZ,3,ARIZONA,4,61,2014,,,,30.5,56.1
AZ,3,ARIZONA,4,61,2015,,,,30.7,55.7
AZ,3,ARIZONA,4,61,2016,,,,30.9,55.3
AZ,3,ARIZONA,4,61,2017,,,,31.4,54.7
AZ,3,ARIZONA,4,61,2018,,,,,
AZ,3,ARIZONA,4,61,2019,,,,,
AZ,3,ARIZONA,4,61,2020,,,,,
CA,5,CALIFORNIA,6,71,1987,,,2137519,,
CA,5,CALIFORNIA,6,71,1988,,,2190151,,
CA,5,CALIFORNIA,6,71,1989,,,2247210,,
CA,5,CALIFORNIA,6,71,1990,,,2322371,,
CA,5,CALIFORNIA,6,71,1991,,,2361537,,
CA,5,CALIFORNIA,6,71,1992,,,2394610,,
CA,5,CALIFORNIA,6,71,1993,,,2406609,,
CA,5,CALIFORNIA,6,71,1994,1.6e+07,1.6e+07,2411731,,
CA,5,CALIFORNIA,6,71,1995,1.6e+07,1.6e+07,2418634,,
