state_name,year,population_total,state_fips,state,state_icpsr,female_pop,male_pop,black_pop,pct_hispanic,pct_white,white_pop,hispanic_pop,pct_female,pct_male,pct_black,pctblack,incomepcap,hs_educ,hs_pct,college_educ,college_pct,pollib_median,state_no,std_bowen1,std_bowen2,unified,party_control,init,initiatives,initiaitves,std_init_use,evangelical_pop
ALABAMA,1987,4083000,1,AL,41,,,1013455,,,,,,,,,,,,,,,1,-1.0958773,-0.12651303,,,1,0,0,-0.290064643871566,56.700001
ALASKA,1987,525000,2,AK,81,,,21388,,,,,,,,,,,,,,,2,1.9701391,0.77498525,,,2,0,0,-0.290064643871566,16.799999
ARIZONA,1987,3386000,4,AZ,61,,,105045,,,,,,,,,,,,,,,3,0.41576687,-0.78148305,,,2,0,0,-0.290064643871566,15.5
ARKANSAS,1987,2388000,5,AR,42,,,375062,,,,,,,,,,,,,,,4,-1.0594815,0.29788938,,,2,0,0,-0.290064643871566,46.400002
CALIFORNIA,1987,27663000,6,CA,71,,,2137519,,,,,,,,,,,,,,,5,5.9896784,2.4293506,,,2,0,0,-0.290064643871566,10.9
COLORADO,1987,3296000,8,CO,62,,,131190,,,,,,,,,,,,,,,6,0.68803728,-1.217082,,,2,0,0,-0.290064643871566,13.6
CONNECTICUT,1987,3211000,9,CT,1,,,263542,,,,,,,,,,,,,,,7,0.22664899,-0.26158458,,,1,0,0,-0.290064643871566,5.4000001
DELAWARE,1987,644000,10,DE,11,,,106118,,,,,,,,,,,,,,,8,0.43314573,-0.79756671,,,1,0,0,-0.290064643871566,11.5
FLORIDA,1987,12023000,12,FL,43,,,1629846,,,,,,,,,,,,,,,9,0.3895444,0.87182647,,,2,0,0,-0.290064643871566,19.6
GEORGIA,1987,6222000,13,GA,44,,,1673702,,,,,,,,,,,,,,,10,-0.92296535,0.18579619,,,1,0,0,-0.290064643871566,41.5
HAWAII,1987,1083000,15,HI,82,,,25645,,,,,,,,,,,,,,,11,0.056244627,0.19911325,,,1,0,0,-0.290064643871566,9.8000002
