"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","487,402","16.8%","28.9%","47.2%","7.1%","3,209,646","5.3%","10.7%","31.3%","22.0%","7.4%","14.7%","8.6%","84.0%","23.3%","608,843","86.9%","26.2%","616,420","87.2%","26.2%","1,284,024","85.6%","23.1%","700,359","75.5%","18.4%","","31.0%","15.8%","12.6%","4.4%","","31,322","18,642","25,485","30,525","45,124","55,943","","5.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","246,876","20.5%","30.4%","43.1%","5.9%","1,514,344","6.0%","11.3%","32.2%","20.9%","6.3%","14.8%","8.5%","82.7%","23.4%","293,867","83.8%","22.6%","301,980","85.2%","23.7%","618,478","83.5%","23.2%","300,019","77.5%","23.9%","","25.8%","12.8%","8.9%","4.0%","","38,868","22,101","31,561","39,694","60,255","75,295","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","240,526","13.0%","27.3%","51.4%","8.2%","1,695,302","4.8%","10.1%","30.4%","23.0%","8.4%","14.6%","8.6%","85.1%","23.2%","314,976","89.8%","29.6%","314,440","89.0%","28.6%","665,546","87.6%","23.0%","400,340","74.0%","14.3%","","36.2%","18.6%","15.3%","4.7%","","25,465","13,580","19,672","24,940","36,153","49,565","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,590","14.8%","40.6%","39.1%","5.5%","464,594","3.0%","5.0%","28.0%","27.7%","8.2%","17.1%","10.9%","92.0%","28.0%","109,331","92.6%","24.1%","95,782","93.3%","30.6%","197,362","93.5%","29.3%","62,119","84.3%","26.9%","","20.6%","10.7%","6.7%","3.2%","","41,288","23,058","30,604","41,092","51,436","68,881","","4.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
