"Label (Grouping)","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","498,384","17.5%","30.3%","44.9%","7.3%","3,225,447","4.9%","10.6%","31.0%","22.0%","8.0%","14.8%","8.7%","84.5%","23.5%","612,773","86.5%","24.6%","608,333","86.6%","25.6%","1,282,803","86.7%","24.1%","721,538","77.4%","19.6%","","30.7%","16.0%","12.3%","4.5%","","31,583","18,851","25,691","30,856","46,108","55,187","","7.2%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","251,986","19.4%","32.5%","42.8%","5.3%","1,525,111","5.3%","10.8%","32.3%","21.5%","6.8%","14.9%","8.4%","83.9%","23.3%","303,855","85.5%","21.4%","292,074","85.0%","23.2%","620,177","85.3%","23.6%","309,005","78.5%","24.7%","","26.6%","12.6%","8.7%","4.1%","","38,453","21,872","31,237","40,054","57,322","75,060","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","246,398","15.6%","28.0%","47.2%","9.3%","1,700,336","4.5%","10.4%","29.9%","22.5%","9.1%","14.6%","9.0%","85.1%","23.6%","308,918","87.4%","27.8%","316,259","88.0%","27.8%","662,626","88.0%","24.4%","412,533","76.6%","15.8%","","34.6%","19.3%","15.1%","4.9%","","25,977","14,680","19,904","25,085","38,689","49,344","","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","84,107","20.2%","35.4%","39.6%","4.9%","462,659","3.1%","5.3%","27.9%","27.5%","8.3%","18.2%","9.8%","91.6%","28.0%","114,008","92.5%","27.0%","89,946","95.7%","30.1%","193,121","92.1%","27.1%","65,584","83.3%","29.4%","","19.6%","12.0%","5.3%","2.3%","","42,051","26,262","35,068","40,717","51,719","70,975","","6.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,224","20.0%","39.0%","38.4%","2.6%","241,735","2.6%","6.1%","31.4%","27.6%","7.2%","16.1%","9.1%","91.4%","25.2%","61,397","91.5%","21.1%","47,185","94.9%","25.6%","100,490","91.9%","25.5%","32,663","84.4%","31.1%","","16.1%","11.2%","4.5%","2.0%","","50,895","30,299","41,598","49,706","64,398","78,288","","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
