"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","463,070","63,369","148,705","218,092","32,904","3,300,713","157,797","333,897","1,011,236","711,231","271,030","506,680","308,842","(X)","(X)","629,565","550,214","165,375","598,269","519,473","169,499","1,288,927","1,110,008","313,792","783,952","629,324","166,856","","2,343,981","2,033,440","631,551","2,285,863","1,996,769","622,920","825,982","676,912","145,714","17,530","14,031","3,305","42,268","36,248","20,507","N","N","N","34,822","17,380","3,977","34,811","29,909","10,274","98,289","57,299","12,730","","(X)","(X)","(X)","(X)","","33,888","20,524","27,144","31,547","48,304","57,307"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.7%","32.1%","47.1%","7.1%","(X)","4.8%","10.1%","30.6%","21.5%","8.2%","15.4%","9.4%","85.1%","24.7%","(X)","87.4%","26.3%","(X)","86.8%","28.3%","(X)","86.1%","24.3%","(X)","80.3%","21.3%","","(X)","86.8%","26.9%","(X)","87.4%","27.3%","(X)","82.0%","17.6%","(X)","80.0%","18.9%","(X)","85.8%","48.5%","(X)","N","N","(X)","49.9%","11.4%","(X)","85.9%","29.5%","(X)","58.3%","13.0%","","28.2%","16.0%","11.3%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","230,768","35,951","80,078","100,811","13,928","1,560,045","82,192","173,660","489,259","329,529","105,425","241,303","138,677","(X)","(X)","311,439","265,260","71,543","291,191","246,137","72,917","618,645","516,684","144,693","338,770","276,112","90,827","","1,127,274","966,600","313,355","1,097,230","947,808","309,078","369,087","290,411","48,620","8,238","6,704","1,611","18,401","16,015","9,825","N","N","N","19,256","8,952","1,780","17,248","15,062","4,718","52,909","29,942","6,381","","(X)","(X)","(X)","(X)","","41,300","24,248","32,314","41,354","62,244","78,381"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","15.6%","34.7%","43.7%","6.0%","(X)","5.3%","11.1%","31.4%","21.1%","6.8%","15.5%","8.9%","83.6%","24.4%","(X)","85.2%","23.0%","(X)","84.5%","25.0%","(X)","83.5%","23.4%","(X)","81.5%","26.8%","","(X)","85.7%","27.8%","(X)","86.4%","28.2%","(X)","78.7%","13.2%","(X)","81.4%","19.6%","(X)","87.0%","53.4%","(X)","N","N","(X)","46.5%","9.2%","(X)","87.3%","27.4%","(X)","56.6%","12.1%","","25.2%","12.9%","7.6%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","232,302","27,418","68,627","117,281","18,976","1,740,668","75,605","160,237","521,977","381,702","165,605","265,377","170,165","(X)","(X)","318,126","284,954","93,832","307,078","273,336","96,582","670,282","593,324","169,099","445,182","353,212","76,029","","1,216,707","1,066,840","318,196","1,188,633","1,048,961","313,842","456,895","386,501","97,094","9,292","7,327","1,694","23,867","20,233","10,682","N","N","N","15,566","8,428","2,197","17,563","14,847","5,556","45,380","27,357","6,349","","(X)","(X)","(X)","(X)","","27,485","15,561","21,249","25,835","40,235","50,932"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
