"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","461,302","61,166","161,286","202,178","36,672","3,337,464","131,592","316,587","1,026,976","721,987","288,285","536,086","315,951","2,889,285","852,037","635,976","565,653","172,677","593,480","521,725","171,847","1,278,345","1,116,565","320,161","829,663","685,342","187,352","","2,353,384","2,077,405","663,038","2,292,702","2,032,413","647,753","840,291","701,544","146,050","15,909","12,857","3,549","44,227","37,748","23,223","N","N","N","38,761","22,233","4,854","43,892","36,589","11,118","105,067","71,548","21,159","","(X)","(X)","(X)","(X)","","36,084","22,738","29,436","32,826","50,081","61,177"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","13.3%","35.0%","43.8%","7.9%","(X)","3.9%","9.5%","30.8%","21.6%","8.6%","16.1%","9.5%","86.6%","25.5%","(X)","88.9%","27.2%","(X)","87.9%","29.0%","(X)","87.3%","25.0%","(X)","82.6%","22.6%","","(X)","88.3%","28.2%","(X)","88.6%","28.3%","(X)","83.5%","17.4%","(X)","80.8%","22.3%","(X)","85.4%","52.5%","(X)","N","N","(X)","57.4%","12.5%","(X)","83.4%","25.3%","(X)","68.1%","20.1%","","30.3%","16.4%","11.0%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","233,872","34,408","92,087","92,328","15,049","1,571,364","63,290","167,706","511,616","327,522","110,534","250,321","140,375","(X)","(X)","311,265","271,422","74,379","286,454","245,594","72,463","612,675","523,396","146,818","360,970","299,956","97,036","","1,128,932","986,029","320,161","1,098,817","964,682","312,751","374,302","303,834","50,684","8,446","6,158","1,564","19,163","16,508","11,082","N","N","N","20,950","11,594","2,122","19,443","16,117","4,955","53,726","35,161","10,132","","(X)","(X)","(X)","(X)","","43,952","27,126","36,009","43,228","63,089","84,519"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.7%","39.4%","39.5%","6.4%","(X)","4.0%","10.7%","32.6%","20.8%","7.0%","15.9%","8.9%","85.3%","24.9%","(X)","87.2%","23.9%","(X)","85.7%","25.3%","(X)","85.4%","24.0%","(X)","83.1%","26.9%","","(X)","87.3%","28.4%","(X)","87.8%","28.5%","(X)","81.2%","13.5%","(X)","72.9%","18.5%","(X)","86.1%","57.8%","(X)","N","N","(X)","55.3%","10.1%","(X)","82.9%","25.5%","(X)","65.4%","18.9%","","25.5%","12.7%","7.3%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","227,430","26,758","69,199","109,850","21,623","1,766,100","68,302","148,881","515,360","394,465","177,751","285,765","175,576","(X)","(X)","324,711","294,231","98,298","307,026","276,131","99,384","665,670","593,169","173,343","468,693","385,386","90,316","","1,224,452","1,091,376","342,877","1,193,885","1,067,731","335,002","465,989","397,710","95,366","7,463","6,699","1,985","25,064","21,240","12,141","N","N","N","17,811","10,639","2,732","24,449","20,472","6,163","51,341","36,387","11,027","","(X)","(X)","(X)","(X)","","29,529","16,287","21,743","26,923","40,870","52,156"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.8%","30.4%","48.3%","9.5%","(X)","3.9%","8.4%","29.2%","22.3%","10.1%","16.2%","9.9%","87.7%","26.1%","(X)","90.6%","30.3%","(X)","89.9%","32.4%","(X)","89.1%","26.0%","(X)","82.2%","19.3%","","(X)","89.1%","28.0%","(X)","89.4%","28.1%","(X)","85.3%","20.5%","(X)","89.8%","26.6%","(X)","84.7%","48.4%","(X)","N","N","(X)","59.7%","15.3%","(X)","83.7%","25.2%","(X)","70.9%","21.5%","","35.2%","20.0%","13.8%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","68,625","7,863","31,355","25,547","3,860","485,353","12,023","20,421","137,293","129,250","39,938","89,635","56,793","452,909","146,428","117,688","110,772","31,724","97,020","92,231","31,041","182,645","171,405","54,970","88,000","78,501","28,693","","335,872","320,284","121,662","318,874","304,489","116,327","16,755","15,967","4,159","62,780","53,260","4,768","32,483","29,160","8,041","5,003","4,747","667","7,105","5,624","1,129","25,355","23,867","6,002","28,378","25,237","7,187","","(X)","(X)","(X)","(X)","","46,189","25,840","35,328","44,619","57,708","77,402"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.5%","45.7%","37.2%","5.6%","(X)","2.5%","4.2%","28.3%","26.6%","8.2%","18.5%","11.7%","93.3%","30.2%","(X)","94.1%","27.0%","(X)","95.1%","32.0%","(X)","93.8%","30.1%","(X)","89.2%","32.6%","","(X)","95.4%","36.2%","(X)","95.5%","36.5%","(X)","95.3%","24.8%","(X)","84.8%","7.6%","(X)","89.8%","24.8%","(X)","94.9%","13.3%","(X)","79.2%","15.9%","(X)","94.1%","23.7%","(X)","88.9%","25.3%","","21.4%","14.3%","8.1%","3.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","38,142","4,517","18,021","13,587","2,017","251,624","6,577","11,099","77,866","67,454","19,234","41,808","27,586","(X)","(X)","62,571","58,715","14,069","49,236","46,235","13,801","95,500","89,447","26,696","44,317","39,551","14,828","","177,330","168,254","59,680","168,998","160,301","57,301","9,338","8,920","1,603","30,660","25,409","1,443","13,967","12,494","3,146","3,031","3,021","233","4,066","3,298","609","13,232","12,552","2,680","14,471","13,006","3,259","","(X)","(X)","(X)","(X)","","51,904","28,335","41,221","50,805","72,239","91,671"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.8%","47.2%","35.6%","5.3%","(X)","2.6%","4.4%","30.9%","26.8%","7.6%","16.6%","11.0%","93.0%","27.6%","(X)","93.8%","22.5%","(X)","93.9%","28.0%","(X)","93.7%","28.0%","(X)","89.2%","33.5%","","(X)","94.9%","33.7%","(X)","94.9%","33.9%","(X)","95.5%","17.2%","(X)","82.9%","4.7%","(X)","89.5%","22.5%","(X)","99.7%","7.7%","(X)","81.1%","15.0%","(X)","94.9%","20.3%","(X)","89.9%","22.5%","","21.2%","13.0%","7.6%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
