state_name,year,ID
ALABAMA,1987,1
ALASKA,1987,2
ARIZONA,1987,3
ARKANSAS,1987,4
CALIFORNIA,1987,5
COLORADO,1987,6
CONNECTICUT,1987,7
DELAWARE,1987,8
FLORIDA,1987,9
GEORGIA,1987,10
HAWAII,1987,11
IDAHO,1987,12
ILLINOIS,1987,13
INDIANA,1987,14
IOWA,1987,15
KANSAS,1987,16
KENTUCKY,1987,17
LOUISIANA,1987,18
MAINE,1987,19
MARYLAND,1987,20
MASSACHUSETTS,1987,21
MICHIGAN,1987,22
MINNESOTA,1987,23
MISSISSIPPI,1987,24
MISSOURI,1987,25
MONTANA,1987,26
NEBRASKA,1987,27
NEVADA,1987,28
NEW HAMPSHIRE,1987,29
NEW JERSEY,1987,30
NEW MEXICO,1987,31
NEW YORK,1987,32
NORTH CAROLINA,1987,33
NORTH DAKOTA,1987,34
OHIO,1987,35
OKLAHOMA,1987,36
OREGON,1987,37
PENNSYLVANIA,1987,38
RHODE ISLAND,1987,39
SOUTH CAROLINA,1987,40
SOUTH DAKOTA,1987,41
TENNESSEE,1987,42
TEXAS,1987,43
UTAH,1987,44
VERMONT,1987,45
VIRGINIA,1987,46
WASHINGTON,1987,47
WEST VIRGINIA,1987,48
WISCONSIN,1987,49
WYOMING,1987,50
ALABAMA,1988,51
ALASKA,1988,52
ARIZONA,1988,53
ARKANSAS,1988,54
CALIFORNIA,1988,55
COLORADO,1988,56
CONNECTICUT,1988,57
DELAWARE,1988,58
FLORIDA,1988,59
GEORGIA,1988,60
HAWAII,1988,61
IDAHO,1988,62
ILLINOIS,1988,63
INDIANA,1988,64
IOWA,1988,65
KANSAS,1988,66
KENTUCKY,1988,67
LOUISIANA,1988,68
MAINE,1988,69
MARYLAND,1988,70
MASSACHUSETTS,1988,71
MICHIGAN,1988,72
MINNESOTA,1988,73
MISSISSIPPI,1988,74
MISSOURI,1988,75
MONTANA,1988,76
NEBRASKA,1988,77
NEVADA,1988,78
NEW HAMPSHIRE,1988,79
NEW JERSEY,1988,80
NEW MEXICO,1988,81
NEW YORK,1988,82
NORTH CAROLINA,1988,83
NORTH DAKOTA,1988,84
OHIO,1988,85
OKLAHOMA,1988,86
OREGON,1988,87
PENNSYLVANIA,1988,88
RHODE ISLAND,1988,89
SOUTH CAROLINA,1988,90
SOUTH DAKOTA,1988,91
TENNESSEE,1988,92
TEXAS,1988,93
UTAH,1988,94
VERMONT,1988,95
VIRGINIA,1988,96
WASHINGTON,1988,97
WEST VIRGINIA,1988,98
WISCONSIN,1988,99
WYOMING,1988,100
ALABAMA,1989,101
ALASKA,1989,102
ARIZONA,1989,103
ARKANSAS,1989,104
CALIFORNIA,1989,105
COLORADO,1989,106
CONNECTICUT,1989,107
DELAWARE,1989,108
FLORIDA,1989,109
GEORGIA,1989,110
HAWAII,1989,111
IDAHO,1989,112
ILLINOIS,1989,113
INDIANA,1989,114
IOWA,1989,115
KANSAS,1989,116
KENTUCKY,1989,117
LOUISIANA,1989,118
MAINE,1989,119
MARYLAND,1989,120
MASSACHUSETTS,1989,121
MICHIGAN,1989,122
MINNESOTA,1989,123
MISSISSIPPI,1989,124
MISSOURI,1989,125
MONTANA,1989,126
NEBRASKA,1989,127
NEVADA,1989,128
NEW HAMPSHIRE,1989,129
NEW JERSEY,1989,130
NEW MEXICO,1989,131
NEW YORK,1989,132
NORTH CAROLINA,1989,133
NORTH DAKOTA,1989,134
OHIO,1989,135
OKLAHOMA,1989,136
OREGON,1989,137
PENNSYLVANIA,1989,138
