"","st","stateno","state","state_fips","state_icpsr","year","evangelical_pop"
"1","AK",2,"Alaska",2,81,1900,NA
"2","AK",2,"Alaska",2,81,1901,NA
"3","AK",2,"Alaska",2,81,1902,NA
"4","AK",2,"Alaska",2,81,1903,NA
"5","AK",2,"Alaska",2,81,1904,NA
"6","AK",2,"Alaska",2,81,1905,NA
"7","AK",2,"Alaska",2,81,1906,NA
"8","AK",2,"Alaska",2,81,1907,NA
"9","AK",2,"Alaska",2,81,1908,NA
"10","AK",2,"Alaska",2,81,1909,NA
"11","AK",2,"Alaska",2,81,1910,NA
"12","AK",2,"Alaska",2,81,1911,NA
"13","AK",2,"Alaska",2,81,1912,NA
"14","AK",2,"Alaska",2,81,1913,NA
"15","AK",2,"Alaska",2,81,1914,NA
"16","AK",2,"Alaska",2,81,1915,NA
"17","AK",2,"Alaska",2,81,1916,NA
"18","AK",2,"Alaska",2,81,1917,NA
"19","AK",2,"Alaska",2,81,1918,NA
"20","AK",2,"Alaska",2,81,1919,NA
"21","AK",2,"Alaska",2,81,1920,NA
"22","AK",2,"Alaska",2,81,1921,NA
"23","AK",2,"Alaska",2,81,1922,NA
"24","AK",2,"Alaska",2,81,1923,NA
"25","AK",2,"Alaska",2,81,1924,NA
"26","AK",2,"Alaska",2,81,1925,NA
"27","AK",2,"Alaska",2,81,1926,NA
"28","AK",2,"Alaska",2,81,1927,NA
"29","AK",2,"Alaska",2,81,1928,NA
"30","AK",2,"Alaska",2,81,1929,NA
"31","AK",2,"Alaska",2,81,1930,NA
"32","AK",2,"Alaska",2,81,1931,NA
"33","AK",2,"Alaska",2,81,1932,NA
"34","AK",2,"Alaska",2,81,1933,NA
"35","AK",2,"Alaska",2,81,1934,NA
"36","AK",2,"Alaska",2,81,1935,NA
"37","AK",2,"Alaska",2,81,1936,NA
"38","AK",2,"Alaska",2,81,1937,NA
"39","AK",2,"Alaska",2,81,1938,NA
"40","AK",2,"Alaska",2,81,1939,NA
"41","AK",2,"Alaska",2,81,1940,NA
"42","AK",2,"Alaska",2,81,1941,NA
"43","AK",2,"Alaska",2,81,1942,NA
"44","AK",2,"Alaska",2,81,1943,NA
"45","AK",2,"Alaska",2,81,1944,NA
"46","AK",2,"Alaska",2,81,1945,NA
"47","AK",2,"Alaska",2,81,1946,NA
"48","AK",2,"Alaska",2,81,1947,NA
"49","AK",2,"Alaska",2,81,1948,NA
"50","AK",2,"Alaska",2,81,1949,NA
"51","AK",2,"Alaska",2,81,1950,NA
"52","AK",2,"Alaska",2,81,1951,NA
"53","AK",2,"Alaska",2,81,1952,NA
"54","AK",2,"Alaska",2,81,1953,NA
"55","AK",2,"Alaska",2,81,1954,NA
"56","AK",2,"Alaska",2,81,1955,NA
"57","AK",2,"Alaska",2,81,1956,NA
"58","AK",2,"Alaska",2,81,1957,NA
"59","AK",2,"Alaska",2,81,1958,NA
"60","AK",2,"Alaska",2,81,1959,NA
"61","AK",2,"Alaska",2,81,1960,NA
"62","AK",2,"Alaska",2,81,1961,NA
"63","AK",2,"Alaska",2,81,1962,NA
"64","AK",2,"Alaska",2,81,1963,NA
"65","AK",2,"Alaska",2,81,1964,NA
"66","AK",2,"Alaska",2,81,1965,NA
"67","AK",2,"Alaska",2,81,1966,NA
"68","AK",2,"Alaska",2,81,1967,NA
"69","AK",2,"Alaska",2,81,1968,NA
"70","AK",2,"Alaska",2,81,1969,NA
"71","AK",2,"Alaska",2,81,1970,NA
"72","AK",2,"Alaska",2,81,1971,NA
"73","AK",2,"Alaska",2,81,1972,NA
"74","AK",2,"Alaska",2,81,1973,NA
"75","AK",2,"Alaska",2,81,1974,NA
"76","AK",2,"Alaska",2,81,1975,11.9
"77","AK",2,"Alaska",2,81,1976,11.9
"78","AK",2,"Alaska",2,81,1977,11.9
"79","AK",2,"Alaska",2,81,1978,11.9
"80","AK",2,"Alaska",2,81,1979,11.9
"81","AK",2,"Alaska",2,81,1980,11.9
"82","AK",2,"Alaska",2,81,1981,11.9
"83","AK",2,"Alaska",2,81,1982,11.9
"84","AK",2,"Alaska",2,81,1983,11.9
"85","AK",2,"Alaska",2,81,1984,11.9
"86","AK",2,"Alaska",2,81,1985,16.799999
