state,state_name,incomepcap,year
AL,ALABAMA,35010,2011
AK,ALASKA,52569,2011
AZ,ARIZONA,35321,2011
AR,ARKANSAS,34279,2011
CA,CALIFORNIA,45557,2011
CO,COLORADO,43658,2011
CT,CONNECTICUT,63132,2011
DE,DELAWARE,43962,2011
FL,FLORIDA,40517,2011
GA,GEORGIA,36842,2011
HI,HAWAII,42809,2011
ID,IDAHO,33579,2011
IL,ILLINOIS,44194,2011
IN,INDIANA,37799,2011
IA,IOWA,41036,2011
KS,KANSAS,43015,2011
KY,KENTUCKY,34799,2011
LA,LOUISIANA,39124,2011
ME,MAINE,39690,2011
MD,MARYLAND,51845,2011
MA,MASSACHUSETTS,54812,2011
MI,MICHIGAN,37781,2011
MN,MINNESOTA,45323,2011
MS,MISSISSIPPI,32546,2011
MO,MISSOURI,38533,2011
MT,MONTANA,38558,2011
NE,NEBRASKA,45674,2011
NV,NEVADA,38777,2011
NH,NEW HAMPSHIRE,49131,2011
NJ,NEW JERSEY,52947,2011
NM,NEW MEXICO,35045,2011
NY,NEW YORK,50904,2011
NC,NORTH CAROLINA,36902,2011
ND,NORTH DAKOTA,49000,2011
OH,OHIO,39245,2011
OK,OKLAHOMA,39800,2011
OR,OREGON,37596,2011
PA,PENNSYLVANIA,44211,2011
RI,RHODE ISLAND,44201,2011
SC,SOUTH CAROLINA,34479,2011
SD,SOUTH DAKOTA,44758,2011
TN,TENNESSEE,37727,2011
TX,TEXAS,42037,2011
UT,UTAH,34190,2011
VT,VERMONT,43982,2011
VA,VIRGINIA,47608,2011
WA,WASHINGTON,44225,2011
WV,WEST VIRGINIA,34581,2011
WI,WISCONSIN,41209,2011
WY,WYOMING,50783,2011
AL,ALABAMA,35824,2012
AK,ALASKA,53708,2012
AZ,ARIZONA,36545,2012
AR,ARKANSAS,36582,2012
CA,CALIFORNIA,48121,2012
CO,COLORADO,45630,2012
CT,CONNECTICUT,64121,2012
DE,DELAWARE,44070,2012
FL,FLORIDA,41540,2012
GA,GEORGIA,37495,2012
HI,HAWAII,43812,2012
ID,IDAHO,35110,2012
IL,ILLINOIS,46029,2012
IN,INDIANA,39433,2012
IA,IOWA,42873,2012
KS,KANSAS,45294,2012
KY,KENTUCKY,35875,2012
LA,LOUISIANA,41003,2012
ME,MAINE,40411,2012
MD,MARYLAND,52787,2012
MA,MASSACHUSETTS,56669,2012
MI,MICHIGAN,39266,2012
MN,MINNESOTA,47726,2012
MS,MISSISSIPPI,33657,2012
MO,MISSOURI,40317,2012
MT,MONTANA,40701,2012
NE,NEBRASKA,46670,2012
NV,NEVADA,39909,2012
NH,NEW HAMPSHIRE,51123,2012
NJ,NEW JERSEY,54574,2012
NM,NEW MEXICO,35749,2012
NY,NEW YORK,53102,2012
NC,NORTH CAROLINA,39103,2012
ND,NORTH DAKOTA,56443,2012
OH,OHIO,40759,2012
OK,OKLAHOMA,42232,2012
OR,OREGON,39371,2012
PA,PENNSYLVANIA,45855,2012
RI,RHODE ISLAND,45601,2012
SC,SOUTH CAROLINA,35989,2012
SD,SOUTH DAKOTA,45442,2012
TN,TENNESSEE,39373,2012
TX,TEXAS,44241,2012
UT,UTAH,36005,2012
VT,VERMONT,45277,2012
VA,VIRGINIA,49309,2012
WA,WASHINGTON,47320,2012
WV,WEST VIRGINIA,35453,2012
WI,WISCONSIN,42944,2012
WY,WYOMING,54213,2012
AL,ALABAMA,36014,2013
AK,ALASKA,52812,2013
AZ,ARIZONA,37139,2013
AR,ARKANSAS,36677,2013
CA,CALIFORNIA,48502,2013
CO,COLORADO,47404,2013
CT,CONNECTICUT,62647,2013
DE,DELAWARE,44404,2013
FL,FLORIDA,41162,2013
GA,GEORGIA,37794,2013
HI,HAWAII,43931,2013
ID,IDAHO,36095,2013
IL,ILLINOIS,47047,2013
IN,INDIANA,39766,2013
IA,IOWA,43439,2013
KS,KANSAS,46174,2013
KY,KENTUCKY,36058,2013
LA,LOUISIANA,41376,2013
ME,MAINE,40329,2013
MD,MARYLAND,52249,2013
MA,MASSACHUSETTS,56628,2013
MI,MICHIGAN,39566,2013
MN,MINNESOTA,47838,2013
MS,MISSISSIPPI,34259,2013
MO,MISSOURI,40569,2013
MT,MONTANA,40674,2013
NE,NEBRASKA,46653,2013
NV,NEVADA,39664,2013
NH,NEW HAMPSHIRE,50865,2013
NJ,NEW JERSEY,54813,2013
NM,NEW MEXICO,35088,2013
NY,NEW YORK,53395,2013
NC,NORTH CAROLINA,38394,2013
ND,NORTH DAKOTA,54900,2013
OH,OHIO,41259,2013
OK,OKLAHOMA,44017,2013
OR,OREGON,39788,2013
PA,PENNSYLVANIA,46213,2013
RI,RHODE ISLAND,45447,2013
SC,SOUTH CAROLINA,36204,2013
SD,SOUTH DAKOTA,45608,2013
TN,TENNESSEE,39454,2013
TX,TEXAS,44816,2013
UT,UTAH,36511,2013
VT,VERMONT,45770,2013
VA,VIRGINIA,48573,2013
WA,WASHINGTON,47857,2013
WV,WEST VIRGINIA,35318,2013
WI,WISCONSIN,43050,2013
WY,WYOMING,53776,2013
AL,ALABAMA,37055,2014
AK,ALASKA,55867,2014
AZ,ARIZONA,38756,2014
AR,ARKANSAS,38749,2014
CA,CALIFORNIA,51266,2014
CO,COLORADO,50797,2014
CT,CONNECTICUT,65498,2014
DE,DELAWARE,46015,2014
FL,FLORIDA,43516,2014
GA,GEORGIA,39969,2014
HI,HAWAII,46044,2014
ID,IDAHO,37680,2014
IL,ILLINOIS,49238,2014
IN,INDIANA,41188,2014
IA,IOWA,44699,2014
KS,KANSAS,47013,2014
KY,KENTUCKY,37645,2014
LA,LOUISIANA,43085,2014
