state_fips,state_name,state_num,state,state_icpsr,num_init,year
1,Alabama,1,AL,41,0,2011
2,Alaska,2,AK,81,0,2011
4,Arizona,3,AZ,61,0,2011
5,Arkansas,4,AR,42,0,2011
6,California,5,CA,71,0,2011
8,Colorado,6,CO,62,1,2011
9,Connecticut,7,CT,1,0,2011
10,Delaware,8,DE,11,0,2011
12,Florida,9,FL,43,0,2011
13,Georgia,10,GA,44,0,2011
15,Hawaii,11,HI,82,0,2011
16,Idaho,12,ID,63,0,2011
17,Illinois,13,IL,21,0,2011
18,Indiana,14,IN,22,0,2011
19,Iowa,15,IA,31,0,2011
20,Kansas,16,KS,32,0,2011
21,Kentucky,17,KY,51,0,2011
22,Louisiana,18,LA,45,0,2011
23,Maine,19,ME,2,2,2011
24,Maryland,20,MD,52,0,2011
25,Massachusetts,21,MA,3,0,2011
26,Michigan,22,MI,23,0,2011
27,Minnesota,23,MN,33,0,2011
28,Mississippi,24,MS,46,3,2011
29,Missouri,25,MO,34,0,2011
30,Montana,26,MT,64,0,2011
31,Nebraska,27,NE,35,0,2011
32,Nevada,28,NV,65,0,2011
33,New Hampshire,29,NH,4,0,2011
34,New Jersey,30,NJ,12,0,2011
35,New Mexico,31,NM,66,0,2011
36,New York,32,NY,13,0,2011
37,North Carolina,33,NC,47,0,2011
38,North Dakota,34,ND,36,0,2011
39,Ohio,35,OH,24,1,2011
40,Oklahoma,36,OK,53,0,2011
41,Oregon,37,OR,72,0,2011
42,Pennsylvania,38,PA,14,0,2011
44,Rhode Island,39,RI,5,0,2011
45,South Carolina,40,SC,48,0,2011
46,South Dakota,41,SD,37,0,2011
47,Tennessee,42,TN,54,0,2011
48,Texas,43,TX,49,0,2011
49,Utah,44,UT,67,0,2011
50,Vermont,45,VT,6,0,2011
51,Virginia,46,VA,40,0,2011
53,Washington,47,WA,73,3,2011
54,West Virginia,48,WV,56,0,2011
55,Wisconsin,49,WI,25,0,2011
56,Wyoming,50,WY,68,0,2011
1,Alabama,1,AL,41,0,2012
2,Alaska,2,AK,81,0,2012
4,Arizona,3,AZ,61,2,2012
5,Arkansas,4,AR,42,1,2012
6,California,5,CA,71,10,2012
8,Colorado,6,CO,62,2,2012
9,Connecticut,7,CT,1,0,2012
10,Delaware,8,DE,11,0,2012
12,Florida,9,FL,43,0,2012
13,Georgia,10,GA,44,0,2012
15,Hawaii,11,HI,82,0,2012
16,Idaho,12,ID,63,0,2012
17,Illinois,13,IL,21,0,2012
18,Indiana,14,IN,22,0,2012
19,Iowa,15,IA,31,0,2012
20,Kansas,16,KS,32,0,2012
21,Kentucky,17,KY,51,0,2012
22,Louisiana,18,LA,45,0,2012
23,Maine,19,ME,2,1,2012
24,Maryland,20,MD,52,0,2012
25,Massachusetts,21,MA,3,3,2012
26,Michigan,22,MI,23,5,2012
27,Minnesota,23,MN,33,0,2012
28,Mississippi,24,MS,46,0,2012
29,Missouri,25,MO,34,2,2012
30,Montana,26,MT,64,0,2012
31,Nebraska,27,NE,35,0,2012
32,Nevada,28,NV,65,0,2012
33,New Hampshire,29,NH,4,0,2012
34,New Jersey,30,NJ,12,0,2012
35,New Mexico,31,NM,66,0,2012
36,New York,32,NY,13,0,2012
37,North Carolina,33,NC,47,0,2012
38,North Dakota,34,ND,36,3,2012
39,Ohio,35,OH,24,1,2012
40,Oklahoma,36,OK,53,0,2012
41,Oregon,37,OR,72,7,2012
42,Pennsylvania,38,PA,14,0,2012
44,Rhode Island,39,RI,5,0,2012
45,South Carolina,40,SC,48,0,2012
46,South Dakota,41,SD,37,1,2012
47,Tennessee,42,TN,54,0,2012
48,Texas,43,TX,49,0,2012
49,Utah,44,UT,67,0,2012
50,Vermont,45,VT,6,0,2012
51,Virginia,46,VA,40,0,2012
53,Washington,47,WA,73,3,2012
54,West Virginia,48,WV,56,0,2012
55,Wisconsin,49,WI,25,0,2012
56,Wyoming,50,WY,68,0,2012
1,Alabama,1,AL,41,0,2013
2,Alaska,2,AK,81,0,2013
4,Arizona,3,AZ,61,0,2013
5,Arkansas,4,AR,42,0,2013
6,California,5,CA,71,0,2013
8,Colorado,6,CO,62,1,2013
9,Connecticut,7,CT,1,0,2013
10,Delaware,8,DE,11,0,2013
12,Florida,9,FL,43,0,2013
13,Georgia,10,GA,44,0,2013
15,Hawaii,11,HI,82,0,2013
16,Idaho,12,ID,63,0,2013
17,Illinois,13,IL,21,0,2013
18,Indiana,14,IN,22,0,2013
19,Iowa,15,IA,31,0,2013
20,Kansas,16,KS,32,0,2013
21,Kentucky,17,KY,51,0,2013
22,Louisiana,18,LA,45,0,2013
23,Maine,19,ME,2,0,2013
24,Maryland,20,MD,52,0,2013
25,Massachusetts,21,MA,3,0,2013
26,Michigan,22,MI,23,0,2013
27,Minnesota,23,MN,33,0,2013
28,Mississippi,24,MS,46,0,2013
29,Missouri,25,MO,34,0,2013
30,Montana,26,MT,64,0,2013
31,Nebraska,27,NE,35,0,2013
32,Nevada,28,NV,65,0,2013
33,New Hampshire,29,NH,4,0,2013
34,New Jersey,30,NJ,12,0,2013
35,New Mexico,31,NM,66,0,2013
36,New York,32,NY,13,0,2013
37,North Carolina,33,NC,47,0,2013
38,North Dakota,34,ND,36,0,2013
39,Ohio,35,OH,24,0,2013
40,Oklahoma,36,OK,53,0,2013
41,Oregon,37,OR,72,0,2013
42,Pennsylvania,38,PA,14,0,2013
44,Rhode Island,39,RI,5,0,2013
45,South Carolina,40,SC,48,0,2013
46,South Dakota,41,SD,37,0,2013
47,Tennessee,42,TN,54,0,2013
48,Texas,43,TX,49,0,2013
49,Utah,44,UT,67,0,2013
50,Vermont,45,VT,6,0,2013
51,Virginia,46,VA,40,0,2013
53,Washington,47,WA,73,2,2013
54,West Virginia,48,WV,56,0,2013
55,Wisconsin,49,WI,25,0,2013
56,Wyoming,50,WY,68,0,2013
1,Alabama,1,AL,41,0,2014
2,Alaska,2,AK,81,3,2014
4,Arizona,3,AZ,61,0,2014
5,Arkansas,4,AR,42,1,2014
6,California,5,CA,71,3,2014
8,Colorado,6,CO,62,4,2014
9,Connecticut,7,CT,1,0,2014
10,Delaware,8,DE,11,0,2014
12,Florida,9,FL,43,2,2014
13,Georgia,10,GA,44,0,2014
15,Hawaii,11,HI,82,0,2014
16,Idaho,12,ID,63,0,2014
17,Illinois,13,IL,21,0,2014
18,Indiana,14,IN,22,0,2014
19,Iowa,15,IA,31,0,2014
20,Kansas,16,KS,32,0,2014
21,Kentucky,17,KY,51,0,2014
22,Louisiana,18,LA,45,0,2014
23,Maine,19,ME,2,1,2014
24,Maryland,20,MD,52,0,2014
25,Massachusetts,21,MA,3,4,2014
26,Michigan,22,MI,23,0,2014
27,Minnesota,23,MN,33,0,2014
28,Mississippi,24,MS,46,0,2014
29,Missouri,25,MO,34,1,2014
30,Montana,26,MT,64,0,2014
31,Nebraska,27,NE,35,1,2014
32,Nevada,28,NV,65,1,2014
33,New Hampshire,29,NH,4,0,2014
34,New Jersey,30,NJ,12,0,2014
35,New Mexico,31,NM,66,0,2014
36,New York,32,NY,13,0,2014
37,North Carolina,33,NC,47,0,2014
38,North Dakota,34,ND,36,4,2014
39,Ohio,35,OH,24,0,2014
40,Oklahoma,36,OK,53,0,2014
41,Oregon,37,OR,72,4,2014
42,Pennsylvania,38,PA,14,0,2014
44,Rhode Island,39,RI,5,0,2014
45,South Carolina,40,SC,48,0,2014
46,South Dakota,41,SD,37,2,2014
47,Tennessee,42,TN,54,0,2014
48,Texas,43,TX,49,0,2014
49,Utah,44,UT,67,0,2014
50,Vermont,45,VT,6,0,2014
51,Virginia,46,VA,40,0,2014
53,Washington,47,WA,73,3,2014
54,West Virginia,48,WV,56,0,2014
55,Wisconsin,49,WI,25,0,2014
56,Wyoming,50,WY,68,0,2014
1,Alabama,1,AL,41,0,2015
2,Alaska,2,AK,81,0,2015
4,Arizona,3,AZ,61,0,2015
5,Arkansas,4,AR,42,0,2015
6,California,5,CA,71,0,2015
8,Colorado,6,CO,62,1,2015
9,Connecticut,7,CT,1,0,2015
10,Delaware,8,DE,11,0,2015
12,Florida,9,FL,43,0,2015
13,Georgia,10,GA,44,0,2015
15,Hawaii,11,HI,82,0,2015
16,Idaho,12,ID,63,0,2015
17,Illinois,13,IL,21,0,2015
18,Indiana,14,IN,22,0,2015
19,Iowa,15,IA,31,0,2015
20,Kansas,16,KS,32,0,2015
21,Kentucky,17,KY,51,0,2015
22,Louisiana,18,LA,45,0,2015
23,Maine,19,ME,2,1,2015
24,Maryland,20,MD,52,0,2015
25,Massachusetts,21,MA,3,0,2015
26,Michigan,22,MI,23,0,2015
27,Minnesota,23,MN,33,0,2015
28,Mississippi,24,MS,46,1,2015
29,Missouri,25,MO,34,0,2015
