state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,std_init_use,evangelical_pop
AL,Alabama,1987,0,Anti-bullying,"",2022,4083000,-1.9314,12735,-0.749778807163239,-0.177939400076866,0,-0.453598409891129,56.700001
AK,Alaska,1987,0,Anti-bullying,"",2022,525000,0.601133,19244,1.28803467750549,1.05755853652954,0,-0.0104275494813919,16.799999
AZ,Arizona,1987,0,Anti-bullying,"",2022,3386000,-0.653512,14896,0.254928380250931,-1.0755717754364,1,0.432743310928345,15.5
AR,Arkansas,1987,0,Anti-bullying,P,2011,2388000,-1.63436,12023,-0.72558856010437,0.403701514005661,1,0.87591415643692,46.400002
CA,California,1987,0,Anti-bullying,P,2012,27663000,1.3435,18447,3.95960259437561,3.32485604286194,0,2.20542669296265,10.9
CO,Colorado,1987,0,Anti-bullying,P,2011,3296000,-0.231493,16205,0.435891658067703,-1.67255759239197,0,-0.0104275494813919,13.6
CT,Connecticut,1987,0,Anti-bullying,P,2011,3211000,0.898547,21573,0.129232078790665,-0.363054126501083,1,-0.453598409891129,5.4000001
DE,Delaware,1987,0,Anti-bullying,"",2022,644000,0.363575,17604,0.266479164361954,-1.09761440753937,0,-0.453598409891129,11.5
FL,Florida,1987,0,Anti-bullying,"",2022,12023000,-1.11113,16193,0.237499743700027,1.19027876853943,0,0.432743310928345,19.6
GA,Georgia,1987,0,Anti-bullying,"",2022,6222000,-1.50135,14679,-0.634853720664978,0.250078469514847,1,-0.453598409891129,41.5
HI,Hawaii,1987,0,Anti-bullying,"",2022,1083000,1.15786,17118,0.0159736145287752,0.268329441547394,1,-0.453598409891129,9.8000002
ID,Idaho,1987,0,Anti-bullying,"",2022,998000,-0.587828,12428,-0.73037326335907,-0.61827963590622,0,-0.0104275494813919,35.799999
IL,Illinois,1987,0,Anti-bullying,P,2010,11582000,0.456437,17236,0.664311647415161,0.702587008476257,0,-0.453598409891129,14
IN,Indiana,1987,0,Anti-bullying,"",2022,5531000,-0.212818,14522,-0.457805037498474,0.319543898105621,1,-0.453598409891129,19.4
IA,Iowa,1987,0,Anti-bullying,P,2007,2834000,0.404578,14786,-0.150224730372429,-0.56812995672226,0,-0.453598409891129,11.9
KS,Kansas,1987,0,Anti-bullying,"",2022,2476000,-0.314693,15567,-0.571119487285614,-0.544504404067993,1,-0.453598409891129,18.1
KY,Kentucky,1987,0,Anti-bullying,"",2022,3727000,-0.491622,12485,-0.79334568977356,0.525963246822357,1,-0.453598409891129,39.799999
LA,Louisiana,1987,0,Anti-bullying,"",2022,4461000,-1.37181,12219,0.113260790705681,-0.212109550833702,1,-0.453598409891129,31.700001
ME,Maine,1987,0,Anti-bullying,P,2012,1187000,0.789088,14434,-0.370297789573669,-0.855887770652771,0,0.87591415643692,3.3
MD,Maryland,1987,0,Anti-bullying,P,2008,4535000,0.651312,19067,-0.078653521835804,0.150224596261978,1,-0.453598409891129,13.4
MA,Massachusetts,1987,0,Anti-bullying,P,2014,5855000,1.5915,19397,1.91537737846375,-3.19859552383423,1,0.87591415643692,3.3
