state,state_no,state_name,state_fips,state_icpsr,year,female_pop,male_pop,black_pop,pct_hispanic,pct_white,population_total,white_pop,hispanic_pop,pct_female,pct_male,pct_black
AK,2,ALASKA,2,81,1987,,,21388,,,525000,,,,,
AK,2,ALASKA,2,81,1988,,,21822,,,513000,,,,,
AK,2,ALASKA,2,81,1989,,,22443,,,527000,,,,,
AK,2,ALASKA,2,81,1990,,,22665,,,550043,,,,,
AK,2,ALASKA,2,81,1991,,,23030,,,570000,,,,,
AK,2,ALASKA,2,81,1992,,,24744,,,587000,,,,,
AK,2,ALASKA,2,81,1993,,,26577,,,599000,,,,,
AK,2,ALASKA,2,81,1994,286678,319598,26129,,,606000,,,0.47306600660066,0.527389438943894,
AK,2,ALASKA,2,81,1995,286477,317140,24854,,,604000,,,0.474299668874172,0.525066225165563,
AK,2,ALASKA,2,81,1996,287709,319298,24463,,,607000,,,0.473985172981878,0.526026359143328,
AK,2,ALASKA,2,81,1997,289073,320238,25352,,,609000,,,0.474668308702792,0.52584236453202,
AK,2,ALASKA,2,81,1998,291786,322224,26194,,,614000,,,0.475221498371336,0.524794788273616,
AK,2,ALASKA,2,81,1999,294423,325077,26610,,,619500,,,0.475259079903148,0.524740920096852,
AK,2,ALASKA,2,81,2000,302820,324112,26849,,,626932,,,0.483018892001046,0.516981107998954,
AK,2,ALASKA,2,81,2001,,,27839,,,633630,,,,,
AK,2,ALASKA,2,81,2002,310665,333121,29080,,,641482,,,0.484292622396264,0.519299060612769,
AK,2,ALASKA,2,81,2003,313539,335279,29650,,,648280,,,0.483647497994694,0.517182390325168,
AK,2,ALASKA,2,81,2004,316525,338910,30696,,,657755,,,0.481220211172853,0.515252639660664,
AK,2,ALASKA,2,81,2005,320479,343182,31363,,,663253,,,0.483192688159722,0.517422461715213,
AK,2,ALASKA,2,81,2006,323642,346411,31886,,,670053,,,0.48300955297566,0.51699044702434,
AK,2,ALASKA,2,81,2007,328638,354840,32787,,,683478,,,0.480831862912925,0.519168137087075,
AK,2,ALASKA,2,81,2008,328686,357607,33941,,,686293,,,0.478929553412318,0.521070446587682,
AK,2,ALASKA,2,81,2009,336248,362225,34302,,,698473,,,0.481404435103433,0.518595564896567,
AK,2,ALASKA,2,81,2010,340603,369628,,,,714146,,,0.476937488972843,0.517580438733816,
AK,2,ALASKA,2,81,2011,,,,,,723860,,,,,
AK,2,ALASKA,2,81,2012,,,,,,731449,,,,,
AK,2,ALASKA,2,81,2013,,,,0.00066,0.00625,731449,4571.55625,482.75634,,,
AK,2,ALASKA,2,81,2014,,,,0.00067,0.00618,731449,4520.35482,490.07083,,,
AK,2,ALASKA,2,81,2015,,,,7e-04,0.00613,,,,,,
