state_name,year,population_total
ALABAMA,1987,4083000
ALASKA,1987,525000
ARIZONA,1987,3386000
ARKANSAS,1987,2388000
CALIFORNIA,1987,27663000
COLORADO,1987,3296000
CONNECTICUT,1987,3211000
DELAWARE,1987,644000
FLORIDA,1987,12023000
GEORGIA,1987,6222000
HAWAII,1987,1083000
IDAHO,1987,998000
ILLINOIS,1987,11582000
INDIANA,1987,5531000
IOWA,1987,2834000
KANSAS,1987,2476000
KENTUCKY,1987,3727000
LOUISIANA,1987,4461000
MAINE,1987,1187000
MARYLAND,1987,4535000
MASSACHUSETTS,1987,5855000
MICHIGAN,1987,9200000
MINNESOTA,1987,4246000
MISSISSIPPI,1987,2625000
MISSOURI,1987,5103000
MONTANA,1987,809000
NEBRASKA,1987,1594000
NEVADA,1987,1007000
NEW HAMPSHIRE,1987,1057000
NEW JERSEY,1987,7672000
NEW MEXICO,1987,1500000
NEW YORK,1987,17825000
NORTH CAROLINA,1987,6413000
NORTH DAKOTA,1987,672000
OHIO,1987,10784000
OKLAHOMA,1987,3272000
OREGON,1987,2724000
PENNSYLVANIA,1987,11936000
RHODE ISLAND,1987,986000
SOUTH CAROLINA,1987,3425000
SOUTH DAKOTA,1987,709000
TENNESSEE,1987,4855000
TEXAS,1987,16789000
UTAH,1987,1680000
VERMONT,1987,548000
VIRGINIA,1987,5904000
WASHINGTON,1987,4538000
WEST VIRGINIA,1987,1897000
WISCONSIN,1987,4807000
WYOMING,1987,490000
ALABAMA,1988,4127000
ALASKA,1988,513000
ARIZONA,1988,3466000
ARKANSAS,1988,2422000
CALIFORNIA,1988,28168000
COLORADO,1988,3290000
CONNECTICUT,1988,3241000
DELAWARE,1988,660000
FLORIDA,1988,12377000
GEORGIA,1988,6401000
HAWAII,1988,1093000
IDAHO,1988,999000
ILLINOIS,1988,11544000
INDIANA,1988,5575000
IOWA,1988,2834000
KANSAS,1988,2487000
KENTUCKY,1988,3721000
LOUISIANA,1988,4420000
MAINE,1988,1206000
MARYLAND,1988,4644000
MASSACHUSETTS,1988,5871000
MICHIGAN,1988,9300000
MINNESOTA,1988,4306000
MISSISSIPPI,1988,2627000
MISSOURI,1988,5139000
MONTANA,1988,804000
NEBRASKA,1988,1601000
NEVADA,1988,1060000
NEW HAMPSHIRE,1988,1097000
NEW JERSEY,1988,7720000
NEW MEXICO,1988,1510000
NEW YORK,1988,17898000
NORTH CAROLINA,1988,6526000
NORTH DAKOTA,1988,663000
OHIO,1988,10872000
OKLAHOMA,1988,3263000
OREGON,1988,2741000
PENNSYLVANIA,1988,12027000
RHODE ISLAND,1988,995000
SOUTH CAROLINA,1988,3493000
SOUTH DAKOTA,1988,715000
TENNESSEE,1988,4919000
TEXAS,1988,16780000
UTAH,1988,1691000
VERMONT,1988,556000
VIRGINIA,1988,5996000
WASHINGTON,1988,4619000
WEST VIRGINIA,1988,1884000
WISCONSIN,1988,4858000
WYOMING,1988,471000
ALABAMA,1989,4118000
ALASKA,1989,527000
ARIZONA,1989,3556000
ARKANSAS,1989,2406000
CALIFORNIA,1989,29063000
COLORADO,1989,3317000
CONNECTICUT,1989,3239000
DELAWARE,1989,673000
FLORIDA,1989,12671000
GEORGIA,1989,6436000
HAWAII,1989,1112000
IDAHO,1989,1014000
ILLINOIS,1989,11658000
INDIANA,1989,5593000
IOWA,1989,2840000
KANSAS,1989,2513000
KENTUCKY,1989,3727000
LOUISIANA,1989,4382000
MAINE,1989,1222000
MARYLAND,1989,4694000
MASSACHUSETTS,1989,5913000
MICHIGAN,1989,9273000
MINNESOTA,1989,4353000
MISSISSIPPI,1989,2621000
MISSOURI,1989,5159000
MONTANA,1989,806000
NEBRASKA,1989,1611000
NEVADA,1989,1111000
NEW HAMPSHIRE,1989,1107000
NEW JERSEY,1989,7736000
NEW MEXICO,1989,1528000
NEW YORK,1989,17950000
NORTH CAROLINA,1989,6571000
NORTH DAKOTA,1989,660000
OHIO,1989,10907000
OKLAHOMA,1989,3224000
OREGON,1989,2820000
PENNSYLVANIA,1989,12040000
RHODE ISLAND,1989,998000
SOUTH CAROLINA,1989,3512000
SOUTH DAKOTA,1989,715000
TENNESSEE,1989,4940000
TEXAS,1989,16991000
UTAH,1989,1707000
VERMONT,1989,567000
VIRGINIA,1989,6098000
WASHINGTON,1989,4761000
WEST VIRGINIA,1989,1857000
WISCONSIN,1989,4867000
WYOMING,1989,475000
ALABAMA,1990,4040587
ALASKA,1990,550043
ARIZONA,1990,3665228
ARKANSAS,1990,2350725
CALIFORNIA,1990,29760021
COLORADO,1990,3294394
CONNECTICUT,1990,3287116
DELAWARE,1990,666168
FLORIDA,1990,12937926
GEORGIA,1990,6478216
HAWAII,1990,1108229
IDAHO,1990,1006749
ILLINOIS,1990,11430602
INDIANA,1990,5544159
IOWA,1990,2776755
KANSAS,1990,2477574
KENTUCKY,1990,3685296
LOUISIANA,1990,4219973
MAINE,1990,1227928
MARYLAND,1990,4781468
MASSACHUSETTS,1990,6016425
MICHIGAN,1990,9295297
MINNESOTA,1990,4375099
MISSISSIPPI,1990,2573216
MISSOURI,1990,5117073
MONTANA,1990,799065
NEBRASKA,1990,1578385
NEVADA,1990,1201833
NEW HAMPSHIRE,1990,1109252
NEW JERSEY,1990,7730188
NEW MEXICO,1990,1515069
NEW YORK,1990,17990455
NORTH CAROLINA,1990,6628637
NORTH DAKOTA,1990,638800
OHIO,1990,10847115
OKLAHOMA,1990,3145585
OREGON,1990,2842321
PENNSYLVANIA,1990,11881643
RHODE ISLAND,1990,1003464
SOUTH CAROLINA,1990,3486703
SOUTH DAKOTA,1990,696004
TENNESSEE,1990,4877185
TEXAS,1990,16986510
UTAH,1990,1722850
VERMONT,1990,562758
VIRGINIA,1990,6187358
WASHINGTON,1990,4866692
WEST VIRGINIA,1990,1793477
WISCONSIN,1990,4891769
WYOMING,1990,453588
ALABAMA,1991,4089000
ALASKA,1991,570000
ARIZONA,1991,3750000
ARKANSAS,1991,2372000
CALIFORNIA,1991,30380000
COLORADO,1991,3377000
CONNECTICUT,1991,3291000
DELAWARE,1991,680000
FLORIDA,1991,13277000
GEORGIA,1991,6623000
HAWAII,1991,1135000
IDAHO,1991,1039000
ILLINOIS,1991,11543000
INDIANA,1991,5610000
IOWA,1991,2795000
KANSAS,1991,2495000
KENTUCKY,1991,3713000
LOUISIANA,1991,4252000
MAINE,1991,1235000
MARYLAND,1991,4860000
MASSACHUSETTS,1991,5996000
MICHIGAN,1991,9368000
MINNESOTA,1991,4432000
MISSISSIPPI,1991,2592000
MISSOURI,1991,5158000
MONTANA,1991,808000
NEBRASKA,1991,1593000
NEVADA,1991,1284000
NEW HAMPSHIRE,1991,1105000
NEW JERSEY,1991,7760000
NEW MEXICO,1991,1548000
NEW YORK,1991,18058000
NORTH CAROLINA,1991,6737000
NORTH DAKOTA,1991,635000
OHIO,1991,10939000
OKLAHOMA,1991,3175000
OREGON,1991,2922000
PENNSYLVANIA,1991,11961000
RHODE ISLAND,1991,1004000
SOUTH CAROLINA,1991,3560000
SOUTH DAKOTA,1991,703000
TENNESSEE,1991,4953000
TEXAS,1991,17349000
UTAH,1991,1770000
VERMONT,1991,567000
VIRGINIA,1991,6286000
WASHINGTON,1991,5018000
WEST VIRGINIA,1991,1801000
WISCONSIN,1991,4955000
WYOMING,1991,460000
ALABAMA,1992,4136000
ALASKA,1992,587000
ARIZONA,1992,3832000
ARKANSAS,1992,2399000
CALIFORNIA,1992,30867000
COLORADO,1992,3470000
CONNECTICUT,1992,3281000
DELAWARE,1992,689000
FLORIDA,1992,13488000
GEORGIA,1992,6751000
HAWAII,1992,1160000
IDAHO,1992,1067000
ILLINOIS,1992,11631000
INDIANA,1992,5662000
IOWA,1992,2812000
KANSAS,1992,2523000
KENTUCKY,1992,3755000
LOUISIANA,1992,4287000
MAINE,1992,1235000
MARYLAND,1992,4908000
MASSACHUSETTS,1992,5998000
MICHIGAN,1992,9437000
MINNESOTA,1992,4480000
MISSISSIPPI,1992,2614000
MISSOURI,1992,5193000
MONTANA,1992,824000
NEBRASKA,1992,1606000
NEVADA,1992,1327000
NEW HAMPSHIRE,1992,1111000
NEW JERSEY,1992,7789000
NEW MEXICO,1992,1581000
NEW YORK,1992,18119000
NORTH CAROLINA,1992,6843000
NORTH DAKOTA,1992,636000
OHIO,1992,11016000
OKLAHOMA,1992,3212000
OREGON,1992,2977000
PENNSYLVANIA,1992,12009000
RHODE ISLAND,1992,1005000
SOUTH CAROLINA,1992,3603000
SOUTH DAKOTA,1992,711000
TENNESSEE,1992,5024000
TEXAS,1992,17656000
UTAH,1992,1813000
VERMONT,1992,570000
VIRGINIA,1992,6377000
WASHINGTON,1992,5136000
WEST VIRGINIA,1992,1812000
WISCONSIN,1992,5007000
WYOMING,1992,466000
ALABAMA,1993,4187000
ALASKA,1993,599000
ARIZONA,1993,3936000
ARKANSAS,1993,2424000
CALIFORNIA,1993,31211000
COLORADO,1993,3566000
CONNECTICUT,1993,3277000
DELAWARE,1993,7e+05
FLORIDA,1993,13679000
GEORGIA,1993,6917000
HAWAII,1993,1172000
IDAHO,1993,1099000
ILLINOIS,1993,11697000
INDIANA,1993,5713000
IOWA,1993,2814000
KANSAS,1993,2531000
KENTUCKY,1993,3789000
LOUISIANA,1993,4295000
