state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,duration,duration_sq,duration_cub,nbrs_lag,nbrs,lawrence,obergefell,std_init_use,evangelical_pop
,Alabama,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,,,,
,Alaska,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1987,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1987,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1987,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1987,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1987,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1987,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1987,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1987,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1987,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1987,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1987,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1987,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1987,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1987,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1987,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1987,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1987,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1987,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1987,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1987,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1987,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1987,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1987,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1987,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1987,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1988,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1988,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1988,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1988,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1988,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1988,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1988,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1988,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1988,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1988,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1988,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1988,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1988,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1988,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1988,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1988,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1988,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1988,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1988,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,South Dakota,1988,0,Anti-bullying,N,2012,,,,,,,,,,,,1,1,,
,Tennessee,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Texas,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Utah,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Vermont,1988,0,Anti-bullying,P,2001,,,,,,,,,,,,1,1,,
,Vermont,1988,0,Anti-bullying,P,2007,,,,,,,,,,,,0,0,,
,Virginia,1988,0,Anti-bullying,M,2022,,,,,,,,,,,,1,0,,
,Washington,1988,0,Anti-bullying,P,2002,,,,,,,,,,,,1,1,,
,West Virginia,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,0,0,,
,Wisconsin,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Wyoming,1988,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alabama,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Alaska,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arizona,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Arkansas,1989,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,California,1989,0,Anti-bullying,P,2012,,,,,,,,,,,,1,0,,
,Colorado,1989,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Connecticut,1989,0,Anti-bullying,P,2011,,,,,,,,,,,,1,0,,
,Delaware,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1989,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1989,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1989,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1989,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1989,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1989,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1989,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1989,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1989,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1989,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
,New Mexico,1989,0,Anti-bullying,P,2019,,,,,,,,,,,,0,0,,
,New York,1989,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,North Carolina,1989,0,Anti-bullying,P,2009,,,,,,,,,,,,1,0,,
,North Dakota,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Ohio,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oklahoma,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Oregon,1989,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Pennsylvania,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Rhode Island,1989,0,Anti-bullying,P,2011,,,,,,,,,,,,1,1,,
,South Carolina,1989,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
